News_Data,Labelling
Waka MPR: Perdagangan Manusia Adalah Pengkhianatan Cita-cita Bangsa,Negative
,
"Terungkap di Vonis, Hakim Terdakwa Suap Migor Terima Kardus Isi USD 1 Juta",Negative
,
"Jadi Tamu Kehormatan, Puan Bicara Peran KADIN dalam Bangun Ekonomi Nasional",Neutral
,
Ragam Komentar Usai Cak Imin Ajak Tobat Nasuha karena Bencana Sumatera,Neutral
,
"Tak Jaga Jarak Aman, Truk Tabrakan Beruntun di Tol Sedyatmo Jakut",Negative
,
KDMP Syariah Bilelando Jadi Harapan Baru Pembangunan Ekonomi Kerakyatan,Positive
,
Badan Pengkajian MPR RI Bahas Reformasi Fiskal dan Tantangan Ekonomi RI,Neutral
,
Video: Bak Sungai Aare Swiss Rasa Lokal? Cek Sungai Ombilin di Sumbar!,Positive
,
"Tinjau Kampung Halaman, Andre Rosiade Beri Ribuan Sembako ke Warga Siteba",Positive
,
"Video BNPB Update Jumlah Korban Bencana Sumatera: 770 Tewas, 463 Hilang",Negative
,
Hakim Pemvonis Lepas Perkara Migor Pakai Duit Suap buat Beli Fortuner-HRV,Negative
,
"Dialog di UPI Bandung, Eddy Soeparno Terima Aspirasi soal Kurikulum Iklim",Neutral
,
Gus Yahya Tegaskan Masih Menjabat Ketum PBNU,Neutral
,
Hal Memberatkan Vonis 3 Hakim Terdakwa Suap Perkara Migor: Keserakahan,Negative
,
Mendagri Dorong Solidaritas Daerah Percepat Pemulihan Bencana,Neutral
,
"Puan Terima Kunjungan Ketua MPR China, Bahas Bencana hingga Kerja Sama",Neutral
,
Golkar Desak Banjir Sumatera Jadi Bencana Nasional: Dampaknya Begitu Luas,Neutral
,
BRI Salurkan Bantuan untuk Warga Terdampak Bencana di Sumut-Sumbar,Positive
,
Bantuan Banjir Aceh Dipercepat Lewat Bandara Rembele,Positive
,
Momen Kunjungan Wakapolri Buat Haru Istri Bupati Aceh Tamiang,Neutral
,
"Cara Ikut Lelang KPK HAKORDIA 9 Desember 2025, Cek Katalognya!",Neutral
,
Material Kayu Menggunung Setelah Arus Deras Menerjang Tapanuli,Negative
,
Kapolri: Desk Ketenagakerjaan Polri Terus Berkontribusi Selesaikan Persoalan Buruh,Neutral
,
Andre Rosiade Kembali Serahkan Bantuan untuk Korban Banjir Bandang Sumbar,Positive
,
3 Hakim Terdakwa Suap Vonis Lepas Perkara Migor Dihukum 11 Tahun Penjara!,Negative
,
Akhirnya Warga Cikande Bisa Pulang ke Rumah Buntut Heboh Radiasi,Negative
,
Gus Yahya Persilakan Proses soal Aliran Rp 100 M: Tapi Jangan Mengada-ada,Negative
,
Puan Minta Pemerintah Jaga Lisan-Lebih Berempati Tangani Bencana Sumatera,Neutral
,
Ratusan Makam Dipindahkan untuk Pembangunan Tol Yogya-Bawen,Neutral
,
"Mendagri Jamin Beras Cukup, Minta Pemda Terdampak Bencana Koordinasi Bapanas",Positive
,
"Video Percepat Distribusi Logistik, BNPB Lakukan Modifikasi Cuaca di Sumatera",Positive
,
Prabowo Bakal Terima Kunjungan Ketua MPR China di Istana Besok,Neutral
,
"Peringati HDI 2025, Mensos Puji Karya Disabilitas yang Semakin Berkualitas",Positive
,
Komisi VIII DPR Cerita Banyak Mayat Korban Banjir Sumatera Belum Terjamah,Negative
,
Puan Minta Evaluasi Usai Bantuan Korban Bencana Pecah Dijatuhkan dari Heli,Negative
,
"Pemerintah Belum Tetapkan Bencana Nasional, Puan Minta Fokus Kirim Bantuan",Neutral
,
Dampak Siklon Ditwah Lumpuhkan Wilayah Sri Lanka,Negative
,
281 Tambang Emas Ilegal di TN Gunung Halimun Salak Disegel Petugas,Negative
,
"13 Stasiun Pendaftaran Motis Nataru 2025/2026, Cek Lokasinya",Neutral
,
Polisi Tak Temukan Unsur Pidana Terkait Bocah Tewas di Selokan Cilegon,Negative
,
WamenPANRB Dorong Penguatan Ekosistem Pembelajaran ASN di Era Serba Cepat,Negative
,
"Video Kapolri Selidiki Kayu Gelondongan: Apabila Ada Pelanggaran, Kita Proses",Negative
,
Bantuan Sosial Terus Berdatangan ke Posko Bencana Halim,Positive
,
"Video Mendagri Minta Pemda Punya Anggaran Lebih Bantu Aceh, Sumut dan Sumbar",Positive
,
Gus Yahya Jelaskan Alasan Ganti Gus Ipul dari Sekjen PBNU,Neutral
,
Video: Surat Raja Charles untuk Korban Banjir Asia Selatan-Tenggara,Neutral
,
"Jadi Ketua Dewan Penasihat KSPSI, Kapolri Komitmen Perjuangkan Hak-hak Buruh",Positive
,
"BNPB Lanjut Modifikasi Cuaca Aceh-Sumut, Harap Percepat Pembersihan Jalur",Positive
,
"Polda Kalsel Amankan 57 Tersangka dan Musnahkan 1,4 Kg Narkoba",Negative
,
Kenapa Purnama Desember Disebut Cold Moon? Ini Penjelasannya,Neutral
,
Komisi VIII Taksir Kerugian Bencana Sumatera Lebih Rp 200 T: Tanggung Jawab!,Negative
,
"Komisi XIII DPR: Pemprov Tak Kuat Tangani Bencana, Perlu Tangan Pusat",Neutral
,
Video: Mendagri soal Kabar Kepala Daerah Menyerah Tangani Bencana,Neutral
,
KPK Ungkap Ada Banyak Titik Lahan Proyek Whoosh yang Diselidiki,Positive
,
BMKG Imbau Aceh dan Sumut Siaga Hujan Lebat Beberapa Hari ke Depan,Negative
,
Video: Kapolri Sebut Para Pelaku Penjarahan Minimarket di Sumut Sudah Dibebaskan,Negative
,
Alasan Pemerintah Belum Tetapkan Status Bencana Nasional di Sumatera,Negative
,
"Kapolri Ajak Buruh Sinergi Jaga Kamtibmas, Dukung Kebijakan Pemerintah",Neutral
,
Korban Tewas Banjir Thailand Bertambah Jadi 267 Orang,Negative
,
Video: Suami Dewi Astutik Kaget Istrinya Terseret Kasus Sabu Rp 5 T,Negative
,
"BNPB Koreksi Data Korban Bencana Sumatera: Meninggal 770 Orang, 463 Hilang",Negative
,
Dibuka! Simak Cara Cek Kuota Magang Nasional 2025 Batch 3,Positive
,
"Dorong Perubahan, Menteri Imipas Terima Penghargaan Transformational Leader dari LAN",Neutral
,
"Waspada Potensi Banjir Rob Jakarta 4-6 Desember, Prediksi Puncak 5 Desember",Negative
,
"Ada Cold Moon 4-5 Desember, Simak Prakiraan Pasang Laut BMKG",Neutral
,
Pesisir Sejahtera Lewat Karbon Biru,Positive
,
"Korban Bencana Sumatera Tembus 807 Jiwa, Pemerintah Kerahkan Penanganan Nasional",Negative
,
MenPAN-RB Ajak Talenta Politeknik Kemenhub Jadi Penggerak Transformasi,Positive
,
Polda Kalsel-TNI-BPBD-BNNP Siaga Hadapi Bencana Cuaca Ekstrem,Positive
,
"Wakapolri Tiba di Aceh Tamiang, Cek Kebutuhan Para Pengungsi",Positive
,
"Kunjungi Sekolah Rakyat, Wamendagri Wiyagus Apresiasi Pendidikan Karakter",Neutral
,
Mendagri Apresiasi Kepala Daerah Sumbang Dana untuk Sumatera: Ini Solidaritas,Positive
,
Bima Arya Tekankan Pentingnya Aglomerasi untuk Megapolitan Jabodetabek,Neutral
,
Hujan-Angin Kencang Bikin Pohon Besar di Jl Muchtar Raya Depok Tumbang,Negative
,
Ritual Sesaji Iringi Doa untuk Korban Kebakaran Maut Apartemen Hong Kong,Negative
,
Video: Kondisi Minimarket di Tapteng Sumut Usai Dijarah Warga,Negative
,
Video: Akankah Musibah di Sumatera Jadi Bencana Nasional? Ini Kata Pratikno,Neutral
,
"Negosiasi 5 Jam, AS-Rusia Gagal Berkompromi Soal Wilayah Ukraina",Neutral
,
5 Berita Terpopuler Internasional Hari Ini,Neutral
,
"Video: Puluhan Ribu Hektare Hutan di Aceh, Sumut dan Sumbar Hilang",Negative
,
BMKG Imbau Waspada Puncak Musim Hujan,Neutral
,
Seskab Teddy: Kerusakan Lingkungan Memperparah Bencana Sumatera,Negative
,
Menteri LH Duga Gelondongan Kayu Terbawa Banjir Sumatera Sisa Buka Kebun Sawit,Negative
,
Taiwan Ungkap China Bikin Simulasi Serangan ke Kapal Perang Asing,Neutral
,
Ketua KPK Jamin Kasus Eks Dirut ASDP Sesuai Prosedur: Rehabilitasi Hal Berbeda,Neutral
,
"Terekam CCTV, Maling HP di Ciracas Jaktim Diringkus Polisi",Negative
,
PELNI Salurkan Bantuan Darurat untuk Korban Banjir Bandang Sumut,Positive
,
"3 Tokoh Penggerak Keadilan bagi Penyandang Disabilitas, Simak Profilnya!",Positive
,
"Haul Guru Sekumpul Akhir Tahun, Polda Kalsel Dibantu Mabes Polri",Neutral
,
Doli Sebut Sejumlah Daerah di Sumatera Tak Sanggup Lagi Tangani Bencana,Negative
,
KPK Undang Prabowo Hadiri Puncak Hakordia 2025 di Yogyakarta 9 Desember,Neutral
,
"Jelang 5 Rajab, Polda Kalsel Perkuat Pengamanan Haul Sekumpul",Neutral
,
"Gus Yahya Nyatakan Masih Ketum PBNU, Bersiap Tempuh Jalur Hukum",Neutral
,
Khofifah Ajak Desa Ikut Sukseskan Program Strategis Nasional,Positive
,
Bamsoet Dilaporkan ke MKD Urusan Tingkat Kehadiran di Rapat DPR,Neutral
,
KPK Galang Donasi untuk Korban Bencana di Sumatera,Positive
,
"Turun Gunung, Walkot Agung Pastikan Jalan di Pekanbaru Mulus",Positive
,
Israel Segera Izinkan Warga Gaza Pergi ke Mesir,Positive
,
Duka Warga Agam Mencari Istri yang Hilang di Tengah Bencana,Negative
,
"Perkuat Diplomasi RI-Rusia, Menbud Resmikan 'The Bust of Leo Tolstoy'",Neutral
,
Kapolri Dikukuhkan sebagai Ketua Dewan Penasihat di Rapimnas KSPSI AGN 2025,Neutral
,
Menko PMK Minta Maaf Jika Ada Kekurangan Penanganan Bencana di Sumatera,Neutral
,
Polda Metro Tangkap 3 Pelaku Pemerasan Usai Korban Lapor Via 110,Negative
,
"Jalan Radar Auri Depok Banjir Usai Hujan Deras, Sejumlah Motor-Mobil Mogok",Negative
,
S2P Kembangkan Kelompok Ternak di Desa Karangkandri Jadi Lebih Modern,Positive
,
"PKB Jawab Golkar: Cak Imin Nggak Nyuruh, dari Dulu Serukan Tobat Ekologis",Neutral
,
"Maling Hantam Warga Bogor Pakai Linggis hingga Luka-luka, Pelaku Diburu",Negative
,
Eks Sekda Buka-bukaan Usai Dicopot Walkot Cilegon,Neutral
,
"Pemerintah Waspada Hujan Ekstrem Akhir Tahun, Siapkan Modifikasi Cuaca",Positive
,
Pohon Tumbang Timpa Mobil Imbas Hujan Deras-Angin Kencang di Depok,Negative
,
Kemensos Pastikan Bantuan Logistik Sudah Tiba di Aceh Tamiang,Positive
,
Menteri LH Sebut PT PMT Ditetapkan Tersangka Kasus Radioaktif Cs-137 Cikande,Negative
,
"Presiden Prancis ke China, Redam Krisis Dagang Eropa-Beijing?",Neutral
,
Ada Supermoon 5 Desember 2025: Waktu dan Tips Pengamatan,Neutral
,
Kades soal Balita Dianiaya Ortu di Bogor: Kaki Patah-Kepala Dioperasi,Negative
,
Pemkab Lebak Bakal Gratiskan PBB Lahan Petani di Bawah 5.000 Meter Persegi,Neutral
,
Kata Mendagri soal Kabar Kepala Daerah Menyerah Tangani Bencana Sumatera,Neutral
,
"22 Sekolah di Medan Masih Terdampak Banjir, Begini Kondisinya",Negative
,
"Ngomel-ngomel, Trump Sebut Imigran Somalia 'Sampah'",Neutral
,
"Bupati Aceh Utara Surati Prabowo, Ngaku Tak Mampu Tangani Bencana",Neutral
,
Anggota DPRD Surabaya Dorong Percepatan Program Rutilahu 2025-2026,Neutral
,
"Andre Rosiade Cek Kondisi Jaringan di Agam, Puluhan BTS di Sumbar Rusak",Negative
,
Video: Nasib Driver Ojol Usai Lawan Arah hingga Baku Hantam di Jakbar,Negative
,
"Terus Bertambah, Korban Tewas Banjir Sri Lanka 465 Orang-366 Hilang",Negative
,
Gembong Narkoba Dewi Astutik Pakai Nama Adik Saat Jadi TKW,Negative
,
Menteri LH: Kami Tak Ragu Sanksi Pemda Jika Kebijakannya Perburuk Landscape,Positive
,
Mendagri Dorong Pemda Alokasikan APBD untuk Urusan Kepemudaan & Olahraga,Neutral
,
Polda Banten Bakal Tindak Perusahaan yang Belum Reklamasi Pascatambang,Positive
,
"Balita di Tajurhalang Bogor Diduga Dianiaya Ortu, Kakek Korban Lapor Polisi",Negative
,
"Kapolri Buka Rapimnas KSPSI AGN 2025 di Senayan, Dihadiri Ribuan Massa Buruh",Neutral
,
"Pulihkan Akses, Pembersihan Material Longsor di Tanah Datar Dikebut",Neutral
,
Video: Prabowo Instruksikan Penanganan Bencana Sumatera Jadi Prioritas Nasional,Positive
,
Jadwal Kereta Khusus Petani dan Pedagang dan Rute Perjalanannya,Positive
,
BMKG Prediksi Hujan Lebat di Sejumlah Wilayah Banten: Waspada Banjir,Negative
,
Wakapolri Ajak Peserta Ojol Kamtibmas di Lampung Doakan Korban Bencana Sumatera,Neutral
,
Sidang Tuntutan 17 Prajurit Terdakwa Kematian Prada Lukcy Ditunda,Neutral
,
Kapolri Pastikan Penjarah Minimarket di Sibolga Sudah Dilepas,Positive
,
"Cara Update Bencana di Aceh, Sumut dan Sumbar, Ini Link Resmi BNPB",Neutral
,
Andre Rosiade Serahkan 5.000 Paket Bantuan Korban Banjir Bandang di Agam,Positive
,
Prabowo Instruksikan Penanganan Bencana Sumatera Jadi Prioritas Nasional,Positive
,
Puluhan Pegawai SPPG di Pandeglang Dilatih soal Kebersihan-Keamanan Pangan MBG,Positive
,
Wakapolri Pimpin Ojol Kamtibmas Polda Lampung: Semoga Ini Jadi Simpul Kolaborasi,Neutral
,
Kemensos Beri Perhatian Khusus Penyandang Disabilitas Korban Bencana Sumatera,Positive
,
Hakim Tegur Marcella Santoso dan Suami gegara Bisik-bisik Saat Sidang,Neutral
,
"Golkar: Yang Bisa Nyuruh Tobat Itu Presiden, Cak Imin sebagai Apa?",Neutral
,
Daftar Peristiwa yang Pernah Ditetapkan Jadi Bencana Nasional,Neutral
,
Mendagri Tegaskan Kepala Daerah Perlu Pahami Manfaat Pengembangan Geopark,Positive
,
Update Data BNPB: Korban Meninggal Bencana Sumatera Tembus 807 Orang,Negative
,
"Ngantuk Berat, Trump Ketiduran Saat Rapat Kabinet",Neutral
,
Video Kisah Ibu-Anak di Sumbar Selamat dari Banjir: Berpegangan pada Pohon,Positive
,
Gus Ipul soal Gejolak PBNU: Kita Serahkan ke Ulama,Neutral
,
"Muncul Desakan Darurat Bencana Nasional di Sumatera, Ini Kata Menko PMK",Neutral
,
Mahyeldi: Semua Daerah Terdampak Bencana di Sumbar Sudah Bisa Diakses,Positive
,
"Kehabisan Bahan Baku-Gas, SPPG Aceh Beralih ke Bahan Lokal & Briket",Negative
,
Kabel Data Bawah Laut AS-Asia Rentan Disabotase?,Negative
,
"Pemotor Minta Parkir Gratis di Mapolda, Polda Metro Jelaskan Aturan Tarif",Neutral
,
Menteri LH Respons Desakan 'Pecat' Buntut Bencana Sumatera,Negative
,
"Hari Disabilitas, Kemensos Tampilkan Karya Seni Anak Penyandang Disabilitas",Positive
,
Maling Motor di Pandeglang Coba Kabur Saat Dikejar Polisi Berakhir Masuk RS,Negative
,
"Bantuan Beras Pecah Dijatuhkan dari Heli, Pemerintah Evaluasi Distribusi",Negative
,
"Proyek Drainase Cinere Tutup Satu Jalur, Motor Melintas Perlahan",Negative
,
"Video: Buruh-Mahasiswa Bentrok di Pelabuhan Manokwari, 3 Polisi-TNI Terluka",Negative
,
"Dilaporkan Hilang, Bocah 3,5 Tahun di Cilegon Ditemukan Tewas di Selokan",Negative
,
Apakah BSU Cair Lagi di Bulan Desember 2025? Cek Infonya!,Neutral
,
Video: Progres Perdamaian di Ukraina Masih Gitu-gitu Aja,Neutral
,
Menanti Gerak Cepat Pemerintah Pusat Tangani Bencana Sumatera,Neutral
,
"Ada Potensi Banjir Pesisir hingga 15 Desember, Ini Daftar Wilayahnya",Negative
,
2 Kader NU Raih Penghargaan Pemimpin Transformatif dari LAN,Positive
,
Pemerintah Usut Gelondongan Terbawa Banjir di Sumatera Pakai Citra Satelit,Positive
,
"Video: 9 Petani di Kota Serang Tersambar Petir, 4 Orang Tewas",Negative
,
Video: Pencarian Pesawat MH370 Malaysia akan Dilanjutkan 30 Desember 2025,Neutral
,
"Trump Pecat 8 Hakim Imigrasi di New York, Alasannya Tak Jelas",Neutral
,
Jejak Banjir Bandang Aceh Tamiang yang Hancurkan Ribuan Rumah Warga,Neutral
,
KPK Panggil Ajudan Gubernur Riau Terkait Kasus 'Jatah Preman',Negative
,
"Jaringan Dewi Astutik Edarkan Narkoba di Indonesia, Hong Kong hingga Brasil",Negative
,
"Viral Mahasiswa UNS Dilecehkan Modus Gim Truth or Dare, Kampus Buka Suara",Neutral
,
"Cak Imin Serukan Tobat Nasuha Buntut Bencana Sumatera, PSI Bela Raja Juli",Neutral
,
Ini Ternyata Pemicu Gembong Narkoba Dewi Astutik Juga Diburu Korsel,Negative
,
Aksi Aiptu Maliana Bongkar Kasus Sodomi-Selamatkan Anak Diculik di Kapuas,Negative
,
"Menteri LH: Jabar Kehilangan Kawasan Lindung 1,2 Juta Ha, Rentan Bencana",Negative
,
Geger Warga Parung Bogor Temukan Mayat Pria Kondisi Busuk di Dalam Rumah,Negative
,
"Sempat Direlokasi, Warga Cikande Terdampak Cesium-137 Sudah Pulang ke Rumah",Negative
,
"Cekal Sejumlah Orang, KPK Usut Otak Utama Korupsi Kuota Haji",Negative
,
Wakil Wali Kota Jakbar Jadi Plt Usai Uus Kuswanto Jadi Sekda DKI,Neutral
,
Video Badan Meteorologi PBB soal Siklon Tropis Senyar Hantam Indonesia,Neutral
,
"Trump Setop Permohonan Imigrasi dari 19 Negara, Siapa Saja?",Neutral
,
BPBD Badung Siap Replikasi Model Tanjung Benoa ke Seluruh Kecamatan,Positive
,
Pramono Ingatkan Jajaran Hati-hati Buat Konten di Medsos: Tak Boleh Berlebihan,Neutral
,
"Geger Ular 3,5 Meter Masuk Gorong-gorong di Depok, Damkar Evakuasi",Neutral
,
Anggaran On Call Rp 4 Triliun Bisa untuk Penanganan Bencana di Sumatera,Positive
,
Pramono Dorong PAM Jaya Perluas Pipanisasi Penuhi Air Bersih di Muara Angke,Neutral
,
"Muswil Partai, Cucun Targetkan PKB Raup 5 Kursi DPR di Banten",Neutral
,
Dunia Hari Ini: Puluhan Pasangan Menikah Massal di Gaza 2 Tahun Usai Serangan Israel,Positive
,
"Driver Ojol Lawan Arah di Jakbar hingga Baku Hantam, Kini Dinonaktifkan",Negative
,
Pria Bareng Dewi Astutik Saat Ditangkap Diduga Pacarnya WN Pakistan,Negative
,
"Menteri LH Ungkap Data Pengurangan Hutan di Aceh, Sumbar, dan Sumut",Negative
,
"Menegangkan! Ditembaki Pria Bersenjata, Capres Peru Balas Tembakan",Negative
,
"Dasco Pimpin Rapat Komisi I DPR Bareng Kabin, Kabais, hingga Kabaintelkam",Neutral
,
Pramono Minta Speaker Masjid-Gereja Dipakai untuk Info Peringatan Dini Banjir,Neutral
,
"Viral Pria Ngaku Kena Pungli Saat Antar Bantuan di Sumut, TNI Membantah",Negative
,
Video Tangis Abdul Cari Istri Hilang Tersapu Banjir: Saya Merasa Tak Berguna,Negative
,
"Potret Jalur Tarutung-Sibolga Belum Bisa Dilewati Total, Proses Pembersihan",Negative
,
Pertamina Patra Niaga Sumbagut Kirim Bantuan LPG ke Sibolga & Pulau Nias,Positive
,
"Mobil Tergelincir Usai Nyasar di Gunung Pancar Bogor, Wisatawan Panggil Damkar",Negative
,
"Polda Metro Tangkap Pengedar Narkoba di Cengkareng, Sita 4,6 Kg Ganja",Negative
,
Kemenag Beri Kelonggaran Absensi Mahasiswa-Dosen di PTKI Terdampak Bencana Alam,Positive
,
"Video: Trump Marah di Rapat Kabinet, Minta Imigran Somalia Minggat dari AS",Neutral
,
Suami Pasrah Dewi Astutik Ternyata Gembong Narkoba Rp 5 Triliun,Negative
,
"Banjir Rob Genangi RE Martadinata Jakut, Lalu Lintas Tersendat",Negative
,
Dirut Pertamina Patra Niaga Tinjau Pekerja-Keluarga Terdampak Banjir Medan,Positive
,
KemenPAN-RB Jaring Masukan Terkait Penataan Pengawasan Sistem Merit,Neutral
,
Menteri LH Akan Panggil Perusahaan Diduga Terlibat Banjir di Sumatera,Positive
,
BNN Usut Kaitan Gembong Narkoba Dewi Astutik dengan Fredy Pratama,Negative
,
Video: Kemeriahan Pernikahan Massal di Tengah Puing-puing Bangunan di Gaza,Positive
,
Kiprah Bripka Rikha Bongkar Kasus Pencabulan hingga Pengantin Pesanan di Kalbar,Negative
,
Pramono Ingin Perayaan Natal dan Tahun Baru di Jakarta Lebih Semarak,Neutral
,
MenteriPAN-RB Rini Raih Penghargaan Adibhakti Sanapati 2025 dari BSSN,Positive
,
Beda KPK dengan RK Perkara Mercy-Moge hingga Laporan Keuangan,Negative
,
Kata BNPB soal Desakan Penetapan Status Bencana Nasional di Sumatera,Neutral
,
Mengapa Siklon Tropis Jarang Terjadi di Indonesia? Ini Kata BMKG,Neutral
,
"13,5 Ton Cengkih Terpapar Radioaktif Kembali ke RI, Akan Dimusnahkan KLH",Negative
,
Pramono Minta Bersihkan Jalan dari Bendera Parpol: Maksimal 3 Hari Habis Acara,Positive
,
"Thailand Beri Rp 1 M untuk Korban Banjir, Proses Birokrasi Dihilangkan",Positive
,
Guru di Era Prabowo: Dari 'Tukang Ajar' Jadi Enabler Global,Positive
,
"Dewi Astutik Buron Sabu Rp 5 T Nama Aslinya Paryatin, Asal Ponorogo",Negative
,
Sisa Genangan Air Banjir Bandang Masih Selimuti Kota Langsa,Negative
,
"1.136 Ton Material Tercemar Radiasi di Cikande, 1 Rumah Belum Didekontaminasi",Negative
,
"Pramono Kumpulkan Kadis-Camat, Minta Siaga Cuaca Ekstrem di Akhir Tahun",Positive
,
"Bantuan Tahap II Polda Riau Meluncur ke Sumbar: Sembako, Tangki Air dan Alat Berat",Positive
,
Bakti BCA Salurkan Bantuan ke Korban Bencana di Medan hingga Langkat,Positive
,
2.029 Polisi Amankan Kunjungan Ketua MPR China di Jakarta,Neutral
,
"Wamen HAM RI Temui AHRC, Bahas Kerja Sama dan Dialog HAM Indonesia-Australia",Neutral
,
Pencarian Pesawat MH370 Akan Dilanjutkan Lagi 30 Desember,Negative
,
Video: Aksi Polantas Angkat Ban Pemotor Ngeyel yang Lawan Arah di Cibinong,Neutral
,
"Cak Imin Ajak Tobat Nasuha, Menteri Lingkungan Sadar Belum Sempurna",Neutral
,
"Badung Buktikan Komitmen Fiskal, Sabet Apresiasi Perbaikan Akses Pendidikan",Positive
,
Majelis Umum PBB Serukan Akhiri Pendudukan Palestina!,Positive
,
Badung Raih Apresiasi Tertinggi Perbaikan Akses Pendidikan Nasional,Positive
,
Polisi Sedot BBM Motornya ke Perahu untuk Evakuasi 3 Jasad Korban Banjir Aceh,Negative
,
Astamaops Salurkan Bantuan di Lhokseumawe: Kapolri Titip Tepat Waktu-Sasaran,Positive
,
"Tabrakan Saat Nyalip, Pemotor di Gunung Sindur Bogor Tewas Terlindas Truk",Negative
,
Pemkab-Kodim 0620 Cirebon Gelar Latihan Besar Kesiapsiagaan Bencana Alam,Positive
,
Dilema Penduduk Donbass Antara Hidup di Bawah Rusia atau Mengungsi,Neutral
,
Sistem Pertahanan & Keamanan RI Dinilai Belum Jawab Tantangan Perang Siber,Negative
,
Video: Hal-hal yang Perlu Diketahui dari Buron Sabu Rp 5 T Dewi Astutik,Negative
,
"Update Korban Banjir-Longsor di Sumut: 298 Orang Tewas, 169 Hilang",Negative
,
Cara Ipda Motalip Dekatkan Diri ke Warga untuk Jaga Keamanan di Nduga,Positive
,
"Banjir Rob Setinggi 20 Cm di Jakut Pagi Ini, Lalin Sempat Macet",Negative
,
TNI Kirim Bantuan Metode Airdrop untuk Warga Aceh Tamiang yang Terisolasi Banjir,Positive
,
"Gagal Nyalip, Pemotor di Dramaga Bogor Tewas Terlindas Truk",Negative
,
Tanggul Mitigasi Dibangun di Muara Angke Antisipasi Banjir Rob 1-10 Desember,Positive
,
Berubah Drastis: Foto Sebelum & Sesudah Banjir Bandang di Aceh-Sumatera,Negative
,
Paus Leo Kritik Sentimen Anti-Muslim di Eropa dan AS,Negative
,
Video: 50 Warga Terjebak di Hutan Saat Banjir di Tapteng Ditemukan Selamat,Positive
,
Video: Sindikat Pencuri Dompet Suami Jeon Hye Bin Terungkap,Negative
,
Video Badan Meteorologi PBB Lihat Data Korban Banjir Sumatera: Sangat Besar,Negative
,
Polisi Ungkap Siasat Bejat Ayah Tiri Cabuli Kakak-Adik di Cibinong Bogor,Negative
,
Polisi Kerahkan 1.365 Personel Kawal Demo di 3 Titik Jakpus Hari Ini,Neutral
,
"Akses ke Langsa Aceh Terputus, 1,5 Ton Bantuan Dikirim Pakai Heli",Negative
,
"Video Putin: Jika Eropa Memutuskan Memulai Perang, Kami Siap Sekarang Juga",Negative
,
Video Kesaksian Korban Banjir Sumatera: Kampung Itu Rata dengan Kayu,Negative
,
"Jembatan Juli Putus Diterjang Banjir, Warga Aceh Kini Menyeberang Lewat Kabel Baja",Negative
,
"Pengungsi di Bireuen Mulai Sakit, Kemenkes Tambah Tim-Logistik Krisis",Negative
,
"Jejak Licin Dewi Astutik, Buron Sabu Rp 5 T yang Suka Pindah Negara",Negative
,
"9 Petani di Kota Serang Tersambar Petir, 4 Orang Meninggal",Negative
,
Komdigi Dirikan Posko Dukungan Psikososial di Daerah Terdampak Bencana,Positive
,
