News_Data,1st Annotator,2nd Annotator,3rd Annotator,Voting Result,Final Take,Labelling
Produk Kebutuhan Harian Diskon hingga 20% di Transmart Full Day Sale,Neutral,Positive,Neutral,Neutral,Neutral,0
"6 Adab Menjenguk Orang Sakit, Muslim Wajib Perhatikan",Neutral,Neutral,Positive,Neutral,Neutral,0
"Hasil Playoff MLS Cup: Messi Cetak Gol, Inter Miami Kalah 1-2",Neutral,Neutral,Neutral,Neutral,Neutral,0
Alasan Megawati Tak Mau Punya HP: Saya Orang yang Dicari,Neutral,Neutral,Neutral,Neutral,Neutral,0
Terlalu Banyak Makan Wortel Bisa Bikin Kulit Kuning? Ini Faktanya,Neutral,Neutral,Neutral,Neutral,Neutral,0
Zulhas: Rupiah Digital Simbol Kedaulatan Ekonomi,Positive,Neutral,Positive,Positive,Positive,1
Korban Jiwa Akibat Badai Melissa Diperkirakan Terus Bertambah,Negative,Negative,Neutral,Negative,Negative,-1
FOTO: Timnas Futsal Cetak Rekor di Indonesia Arena,Positive,Positive,Neutral,Positive,Positive,1
"Hari Ini Transmart Full Day Sale Hujan Diskon, Cek Daftar Produknya",Neutral,Positive,Neutral,Neutral,Neutral,0
VIDEO: Projo Tak Akan Berubah Menjadi Partai Politik,Neutral,Neutral,Negative,Neutral,Neutral,0
"10 Hotel Terbaik di Dunia 2025, Thailand Punya 3 Wakil",Neutral,Positive,Neutral,Neutral,Neutral,0
Budi Arie Ungkap Alasan Ingin Gabung Gerindra,Neutral,Neutral,Neutral,Neutral,Neutral,0
Jadwal Siaran Langsung 3 Wakil Indonesia di Final Hylo Open 2025,Neutral,Positive,Neutral,Neutral,Neutral,0
"Peserta Harus Tahu, Ini Daftar Penyakit yang Ditanggung BPJS Kesehatan",Neutral,Neutral,Positive,Neutral,Neutral,0
"5 Fakta Masjid Al Aqsa, Kiblat Pertama Umat Islam yang Terancam Roboh",Neutral,Neutral,Neutral,Neutral,Neutral,0
Kaukus Kebebasan Akademik Tolak Usulan Soeharto Pahlawan Nasional,Neutral,Neutral,Neutral,Neutral,Neutral,0
Jadwal Siaran Langsung Persebaya vs Persis di Super League,Neutral,Neutral,Neutral,Neutral,Neutral,0
"Serbu Transmart Full Day Sale Sekarang, Ada Diskon 50% + 20%",Neutral,Positive,Neutral,Neutral,Neutral,0
VIDEO: Projo Tak Akan Berubah Menjadi Partai Politik,Neutral,Neutral,Neutral,Neutral,Neutral,0
30 Menit Sebelum Olahraga Sebaiknya Makan Apa? Ini 7 Rekomendasinya,Neutral,Neutral,Neutral,Neutral,Neutral,0
5 Rekomendasi Drama Korea Terbaru November 2025,Neutral,Neutral,Positive,Neutral,Neutral,0
"Sports Sepekan: Megawati Tinggalkan Manisa, Veda Ega Resmi ke Moto3",Neutral,Neutral,Neutral,Neutral,Neutral,0
Morgan Stanley Prediksi Harga Emas ke Angka Ini di 2026,Neutral,Neutral,Neutral,Neutral,Neutral,0
Kata-kata Pelatih Timnas Futsal Indonesia Usai Hajar Australia,Neutral,Neutral,Neutral,Neutral,Neutral,0
FOTO: Ratusan Mobil Antik Tersimpan Apik di Museum Kebon Vintage Car,Neutral,Positive,Neutral,Neutral,Neutral,0
"Hasil Liga Inggris: Emi Martinez Blunder, Liverpool Hajar Aston Villa",Neutral,Neutral,Neutral,Neutral,Neutral,0
"Hasil Liga Spanyol: Mbappe 2 Gol, Real Madrid Bantai Valencia",Neutral,Neutral,Neutral,Neutral,Neutral,0
"Kalah Saing dengan OpenAI, Microsoft Siapkan AI Ramah Anak",Positive,Positive,Neutral,Positive,Positive,1
"Hasil Liga Italia: Emil Audero Marah-marah, Cremonese Dihajar Juventus",Neutral,Neutral,Negative,Neutral,Neutral,0
"FOTO: China Luncurkan Roket Shenzhou-21 Lagi, Bawa Astronaut Termuda",Neutral,Positive,Neutral,Neutral,Neutral,0
"Hasil Chennai Open: Aldila/Janice Lolos ke Final, Lawan Banting Raket",Neutral,Positive,Neutral,Neutral,Neutral,0
"Disney-YouTube Gagal Negosiasi, Jutaan Warga AS Gigit Jari",Neutral,Neutral,Negative,Neutral,Neutral,0
"Dua Pria Tikam Penumpang Kereta Api, 9 Orang Terluka",Negative,Negative,Neutral,Negative,Negative,-1
Hasil Studi: Ciri Psikopat Bisa Dikenali dari Makanan Kesukaan,Neutral,Neutral,Neutral,Neutral,Neutral,0
Mengerikan! Ini 10 Badai Terbesar Dalam Sejarah Dunia,Neutral,Negative,Negative,Negative,Negative,-1
Presiden Korsel Minta Prabowo Lanjutkan Kerja Sama Proyek Jet Tempur,Positive,Neutral,Neutral,Neutral,Neutral,0
Banjir Besar! 31 Tewas dan Puluhan Masih Hilang,Negative,Negative,Neutral,Negative,Negative,-1
"Tanah Bisa Hilang Sekejap, Ini 4 Modus Kejam Mafia Tanah di Indonesia",Neutral,Negative,Neutral,Neutral,Neutral,0
Harga Perak Masih Menguat Sepekan di Tengah Tekanan The Fed,Neutral,Neutral,Neutral,Neutral,Neutral,0
"Menang Banyak Belanja di Transmart Hari Ini, Ada Diskon Besar!",Neutral,Positive,Neutral,Neutral,Neutral,0
IHSG Bisa Tergelincir di November! Polanya Mirip 2017 & 2021,Negative,Neutral,Neutral,Neutral,Neutral,0
Peneliti Asing Ungkap Ada Ancaman Besar di Wilayah RI Ini,Negative,Negative,Negative,Negative,Negative,-1
"PDIP Bongkar Fakta Lama Soal Kereta Cepat Whoosh, Sebut-Sebut Jokowi",Neutral,Neutral,Neutral,Neutral,Neutral,0
Cerita Menteri Keuangan RI Dicegat Masuk Istana Gara-Gara Kijang Tua,Neutral,Neutral,Neutral,Neutral,Neutral,0
IHSG Bisa Tergelincir di November! Polanya Mirip 2017 & 2021,Negative,Neutral,Neutral,Neutral,Neutral,0
Morgan Stanley Prediksi Harga Emas Bakal Tembus Segini,Neutral,Neutral,Neutral,Neutral,Neutral,0
"Pesawat Airbus Mendarat Darurat, 15 Penumpang Dilarikan ke RS",Negative,Negative,Neutral,Negative,Negative,-1
IHSG Bisa Tergelincir di November! Polanya Mirip 2017 & 2021,Negative,Neutral,Neutral,Neutral,Neutral,0
Peneliti Asing Ungkap Ada Ancaman Besar di Wilayah RI Ini,Negative,Negative,Negative,Negative,Negative,-1
Cerita Menteri Keuangan RI Dicegat Masuk Istana Gara-Gara Kijang Tua,Neutral,Neutral,Neutral,Neutral,Neutral,0
"Pertama di Asia Tenggara, Telkomsel & OpenAI Rilis Paket ChatGPT Go",Neutral,Positive,Neutral,Neutral,Neutral,0
"Ada 6 Bank Bangkrut di RI, Ini Daftarnya",Negative,Negative,Neutral,Negative,Negative,-1
"Wanita Ini Telah Hidup 116 Tahun, Rahasianya Bikin Kaget!",Positive,Neutral,Positive,Positive,Positive,1
"Bukan AI, Para Raksasa Teknologi Panen Cuan dari Sini",Neutral,Neutral,Positive,Neutral,Neutral,0
"PDIP Bongkar Fakta Lama Soal Kereta Cepat Whoosh, Sebut-Sebut Jokowi",Neutral,Neutral,Negative,Neutral,Neutral,0
Mau Gaji Naik Tanpa Kuliah Lagi? Kuasai Skill Ini!,Neutral,Positive,Positive,Positive,Positive,1
Era Baru Gaming Dimulai: AI Akan Kuasai Industri Bernilai Rp3.000 T,Neutral,Neutral,Neutral,Neutral,Neutral,0
"PDIP Bongkar Fakta Lama Soal Kereta Cepat Whoosh, Sebut-Sebut Jokowi",Neutral,Neutral,Negative,Neutral,Neutral,0
Cerita Menteri Keuangan RI Dicegat Masuk Istana Gara-Gara Kijang Tua,Neutral,Neutral,Neutral,Neutral,Neutral,0
IHSG Bisa Tergelincir di November! Polanya Mirip 2017 & 2021,Negative,Neutral,Neutral,Neutral,Neutral,0
Morgan Stanley Prediksi Harga Emas Bakal Tembus Segini,Neutral,Neutral,Neutral,Neutral,Neutral,0
"Pesawat Airbus Mendarat Darurat, 15 Penumpang Dilarikan ke RS",Negative,Negative,Neutral,Negative,Negative,-1
Ahli Gizi Jepang Beberkan 5 Buah Bisa Bikin Panjang Umur & Sehat,Positive,Positive,Neutral,Positive,Positive,1
"Warren Buffett Mau Pamit dari Berkshire, Tinggalkan Uang Rp6.240 T",Neutral,Neutral,Neutral,Neutral,Neutral,0
Megawati Bicara Soal Hubungannya dengan Presiden Prabowo,Neutral,Neutral,Neutral,Neutral,Neutral,0
"Tingkatkan Kualitas Layanan, Pertamina Ajak Diskusi Komunitas Otomotif",Positive,Positive,Neutral,Positive,Positive,1
"Presiden Korsel Minta Tolong Xi Jinping Soal Kim Jong-un, Bilang Gini",Neutral,Neutral,Neutral,Neutral,Neutral,0
"Marak Orang Kaya Jepang Ambil Langkah ""Tabu"", Ekonomi Terancam Panas",Neutral,Neutral,Negative,Neutral,Neutral,0
Siap-Siap La Nina Datang. Begini Dampaknya di Musim Hujan RI,Neutral,Negative,Negative,Negative,Negative,-1
"Termasuk Ikan Napoleon Bibir Tebal, Senjata Vitalitas Pria Ini Ada RI",Neutral,Neutral,Neutral,Neutral,Neutral,0
"Mentan Amran-Ketua MPR Turun Sidak Kios Pupuk, Begini Hasil Temuannya",Neutral,Positive,Neutral,Neutral,Neutral,0
"2.817 Warga Korea Tewas Bunuh Diri Tahun 2024, Ini Umur-Penyebabnya",Negative,Negative,Neutral,Negative,Negative,-1
"PDIP Bongkar Fakta Lama Soal Kereta Cepat Whoosh, Sebut-Sebut Jokowi",Neutral,Neutral,Negative,Neutral,Neutral,0
Cerita Menteri Keuangan RI Dicegat Masuk Istana Gara-Gara Kijang Tua,Neutral,Neutral,Neutral,Neutral,Neutral,0
IHSG Bisa Tergelincir di November! Polanya Mirip 2017 & 2021,Negative,Neutral,Neutral,Neutral,Neutral,0
Morgan Stanley Prediksi Harga Emas Bakal Tembus Segini,Neutral,Neutral,Neutral,Neutral,Neutral,0
"Pesawat Airbus Mendarat Darurat, 15 Penumpang Dilarikan ke RS",Negative,Negative,Neutral,Negative,Negative,-1
"Magang Digaji Batch II Dibuka, Hampir 2.000 Perusahaan Ikut Daftar",Positive,Positive,Positive,Positive,Positive,1
Potret Demo Besar Ribuan Mahasiswa-Petani Naik Traktor Guncang Serbia,Negative,Neutral,Neutral,Neutral,Neutral,0
"RI Siaga 1! BMKG Ingatkan Ancaman Badai Mirip Seroja, La Nina OTW",Negative,Negative,Negative,Negative,Negative,-1
"Apa Itu Badai Melissa di Jamaika, Kenapa Bisa Picu Malapetaka Dahsyat?",Neutral,Neutral,Neutral,Neutral,Neutral,0
"Megathrust Intai RI-Petaka Banjir Mengancam, Siapkan Tas Siaga Bencana",Negative,Negative,Negative,Negative,Negative,-1
"23 Juta Orang Nunggak, Berapa Iuran BPJS Kesehatan Berlaku 1 November?",Neutral,Negative,Negative,Negative,Negative,-1
Kredit KB Bank Tumbuh Double Digit di Kuartal III-2025,Positive,Positive,Neutral,Positive,Positive,1
"Dari AC Hingga Kulkas, Aneka Elektronik Banting Harga di Transmart",Neutral,Positive,Neutral,Neutral,Neutral,0
"Apa Itu Penyakit Gangguan Genetik MLD yang Harga Obatnya Rp70,5 M?",Neutral,Neutral,Neutral,Neutral,Neutral,0
"Ada Masalah Apa Sampai Pengusaha-Buruh Mau Datang ""Bertemu"" Purbaya?",Neutral,Neutral,Neutral,Neutral,Neutral,0
"PDIP Bongkar Fakta Lama Soal Kereta Cepat Whoosh, Sebut-Sebut Jokowi",Neutral,Neutral,Negative,Neutral,Neutral,0
Cerita Menteri Keuangan RI Dicegat Masuk Istana Gara-Gara Kijang Tua,Neutral,Neutral,Neutral,Neutral,Neutral,0
IHSG Bisa Tergelincir di November! Polanya Mirip 2017 & 2021,Negative,Neutral,Neutral,Neutral,Neutral,0
Morgan Stanley Prediksi Harga Emas Bakal Tembus Segini,Neutral,Neutral,Neutral,Neutral,Neutral,0
"Pesawat Airbus Mendarat Darurat, 15 Penumpang Dilarikan ke RS",Negative,Negative,Neutral,Negative,Negative,-1
Peran Pendidikan Global dalam Transformasi Jakarta 2030,Positive,Positive,Neutral,Positive,Positive,1
Video: Bankir Bongkar Jurus Jaga Kualitas Kredit - Nasib Kantor Cabang,Neutral,Positive,Neutral,Neutral,Neutral,0
"Badai PHK Ribuan Orang di Raksasa Teknologi Amazon, Meta-Microsoft",Negative,Negative,Neutral,Negative,Negative,-1
"Siap-Siap Puncak Musim Hujan Dimulai, Ini Penjelasan Kepala BMKG",Neutral,Neutral,Neutral,Neutral,Neutral,0
Siap Pergi Liburan! Koper Banting Harga di Transmart Full Day Sale,Neutral,Positive,Neutral,Neutral,Neutral,0
Peringatan Terbaru Kepala BMKG Ungkap Kapan La Nina Hantam RI,Neutral,Negative,Negative,Negative,Negative,-1
"Menteri LH Keluarkan Keputusan Baru, Daerah Ini Resmi Darurat Sampah",Negative,Negative,Negative,Negative,Negative,-1
"Jamur Langka ""Truffle RI"" Ini Muncul Efek Petir, Harganya Rp4 Juta/Kg",Neutral,Neutral,Negative,Neutral,Neutral,0
Video: Jurus Asuransi Properti Manfaatkan Insentif Prabowo - Purbaya,Neutral,Positive,Neutral,Neutral,Neutral,0
"Sambut Bulan Baru, Saatnya Belanja di Transmart Full Day Sale",Neutral,Positive,Neutral,Neutral,Neutral,0
"PDIP Bongkar Fakta Lama Soal Kereta Cepat Whoosh, Sebut-Sebut Jokowi",Neutral,Neutral,Negative,Neutral,Neutral,0
Cerita Menteri Keuangan RI Dicegat Masuk Istana Gara-Gara Kijang Tua,Neutral,Neutral,Neutral,Neutral,Neutral,0
IHSG Bisa Tergelincir di November! Polanya Mirip 2017 & 2021,Negative,Neutral,Neutral,Neutral,Neutral,0
Morgan Stanley Prediksi Harga Emas Bakal Tembus Segini,Neutral,Neutral,Neutral,Neutral,Neutral,0
"Pesawat Airbus Mendarat Darurat, 15 Penumpang Dilarikan ke RS",Negative,Negative,Neutral,Negative,Negative,-1
Obama Kritik Tajam Trump: Negara Kita Sedang di Masa yang Cukup Gelap,Negative,Neutral,Negative,Negative,Negative,-1
Permasalahan TKA dan Jalan Tengahnya,Neutral,Neutral,Negative,Neutral,Neutral,0
Video: Prabowo dan Presiden Korsel Lee Jae Sepakat Perkuat Kerjasama Militer,Positive,Neutral,Neutral,Neutral,Neutral,0
"Operasi Atasi Balap Liar, Kakorlantas: Penyitaan Kendaraan Langkah Terakhir",Neutral,Neutral,Neutral,Neutral,Neutral,0
Arahan Kakorlantas Cegah Balap Liar: Polantas Patroli di Malam-Dini Hari,Positive,Neutral,Neutral,Neutral,Neutral,0
Partai PRIMA Dukung 'Anti-Serakahnomics' Prabowo ke Pemimpin Dunia,Neutral,Neutral,Neutral,Neutral,Neutral,0
Video: Warga Tak Masalah Nama Tanggul Baswedan Diganti Jadi Pramono,Neutral,Neutral,Neutral,Neutral,Neutral,0
"Israel Serang Lebanon, 4 Orang Tewas",Negative,Negative,Neutral,Negative,Negative,-1
Raja Keraton Solo Pakubuwono XIII Tutup Usia,Neutral,Negative,Neutral,Neutral,Neutral,0
"Orkes Dangdut Meriahkan CFD Bundaran HI, Warga Olahraga Sambil Joget Bareng",Positive,Neutral,Neutral,Neutral,Neutral,0
Video Saat Megawati Bilang Akrab dengan Prabowo: Jangan Anda Coba-coba!,Neutral,Neutral,Negative,Neutral,Neutral,0
Papan Nama Miring Pasar Barito,Neutral,Neutral,Neutral,Neutral,Neutral,0
"Kemensos Gelar November Run, Ribuan Peserta Lari Bareng Mensos-Seskab Teddy",Positive,Positive,Neutral,Positive,Positive,1
"Dekatkan Golkar dan Rakyat, SOKSI Bagikan Sembako ke Sopir Ojek di Jakarta",Positive,Positive,Neutral,Positive,Positive,1
"Cerita Warga Ajak Keluarga ke CFD Depok: Jujur, Tujuan Utamanya Jajan",Neutral,Positive,Neutral,Neutral,Neutral,0
"Video Terpopuler Sepekan: Whoosh Masuk Radar KPK, Biaya Haji Turun Rp 2 Juta",Neutral,Positive,Neutral,Neutral,Neutral,0
Pupuk Kaltim Raih Predikat Tertinggi Indonesia Responsible Care Award,Positive,Positive,Positive,Positive,Positive,1
Segudang Strategi Pemprov Antisipasi Banjir yang Ancam Jakarta,Positive,Positive,Negative,Positive,Positive,1
Serakahnomics Dibawa Prabowo ke Level Asia Pasifik,Neutral,Positive,Neutral,Neutral,Neutral,0
Lestari Moerdijat Dorong Perempuan Kuasai Pertanian Ramah Lingkungan,Positive,Positive,Neutral,Positive,Positive,1
Fraksi Gerindra Segera Aktifkan Sara di DPR Lagi: Biar Tak Ada Kekosongan,Neutral,Neutral,Neutral,Neutral,Neutral,0
Merawat Budaya Depok Lewat Goresan Batik,Positive,Positive,Neutral,Positive,Positive,1
"7 Ha Lahan di Rohil Terbakar gara-gara Puntung Rokok, Pelaku Ditangkap",Negative,Negative,Neutral,Negative,Negative,-1
Nasib Berbeda Onad dan Istri Usai Diamankan Terkait Narkoba,Neutral,Negative,Neutral,Neutral,Neutral,0
"Dekontaminasi Radiasi di Cikande Ditarget Beres Pekan Depan, Warga Bisa Pulang",Positive,Negative,Neutral,TIED,Neutral,0
"Video: Kecelakaan di Tanjakan Cae Sumedang, 3 Orang Tewas",Negative,Negative,Neutral,Negative,Negative,-1
Karung Pasir Tak Kuasa Tahan Luapan Jebolnya Tanggul Baswedan,Negative,Negative,Neutral,Negative,Negative,-1
"Onad Menunduk Saat Diperiksa, Mengaku Menyesal Pakai Narkoba",Neutral,Positive,Neutral,Neutral,Neutral,0
Pesan Jokowi Lewat Video Usai Batal ke Kongres Projo,Neutral,Neutral,Neutral,Neutral,Neutral,0
Video Umrah Mandiri Vs Travel: Mau Praktis atau Taktis?,Neutral,Neutral,Neutral,Neutral,Neutral,0
"Bupati Sudewo Lolos Pemakzulan, Kemendagri Wanti-wanti Hal Ini",Neutral,Neutral,Neutral,Neutral,Neutral,0
Tersisa Cerita Perjuangan Tembus Macet Panjang Gara-gara Banjir Kemang,Negative,Negative,Neutral,Negative,Negative,-1
Awal Mula Polisi Bongkar Kasus Narkoba yang Jerat Onad,Neutral,Negative,Neutral,Neutral,Neutral,0
Trump Ancam Aksi Militer di Nigeria Terkait Pembunuhan Umat Kristen,Negative,Neutral,Neutral,Neutral,Neutral,0
Terbuka Sudah Harta Karun Firaun Muda,Neutral,Positive,Neutral,Neutral,Neutral,0
"Gempa M 4,9 Guncang Meulaboh Aceh Barat",Negative,Negative,Neutral,Negative,Negative,-1
"Prakiraan Cuaca Jakarta: Jakpus, Jakbar dan Jaksel Hujan Riang Siang Ini",Neutral,Neutral,Neutral,Neutral,Neutral,0
"Hendak Usir Tentara Rusia, Ukraina Kirim Pasukan Khusus ke Pokrovsk",Neutral,Neutral,Neutral,Neutral,Neutral,0
"Truk Tangki BBM Terbakar Usai Terguling di Cianjur, Pos Polisi-Ruko Hangus",Negative,Negative,Neutral,Negative,Negative,-1
"Tanah Longsor Terjang Kenya, 21 Orang Tewas- 30 Lainnya Masih Hilang",Negative,Negative,Neutral,Negative,Negative,-1
Dirjen Hubdat Cek Terminal hingga Jalan Rawan Laka Serentak 7 November,Positive,Neutral,Neutral,Neutral,Neutral,0
"Tambang Emas Ilegal di Kampar Ditindak Tegas, 7 Rakit PETI Disita Polisi",Positive,Neutral,Neutral,Neutral,Neutral,0
"Bareskrim Gerebek Tambang Ilegal di Lereng Merapi, Omzet Capai Rp 3 T",Positive,Positive,Neutral,Positive,Positive,1
Sejarawan soal Usul Soeharto Pahlawan: Seperti Beri Nobel Perdamaian ke Trump,Neutral,Neutral,Neutral,Neutral,Neutral,0
"Wujudkan Green Policing, Polres Rohul Tanam Pohon Serentak di 22 Lokasi",Positive,Neutral,Neutral,Neutral,Neutral,0
"Tanam Peduli Lingkungan Sejak Dini, Polisi Edukasi Green Policing di TK Dumai",Positive,Positive,Neutral,Positive,Positive,1
Ketua Komisi XI DPR Dorong Masyarakat Bantu Pembangunan Nasional,Positive,Positive,Neutral,Positive,Positive,1
"Polisi di Kota Tangerang Berbagi Sembako, Ajak Warga Jaga Kamtibmas",Positive,Positive,Neutral,Positive,Positive,1
Video Kapan Puncak Musim Hujan di Indonesia? Ini Kata BMKG,Neutral,Positive,Neutral,Neutral,Neutral,0
Ketua KNPI Apresiasi Presiden Korsel Bahas Konferensi Asia-Afrika di KTT APEC,Positive,Neutral,Neutral,Neutral,Neutral,0
Jawaban Singkat Trump soal Desas-desus AS Serang Venezuela,Neutral,Neutral,Neutral,Neutral,Neutral,0
"Video Polisi Gerebek Tambang Ilegal di Lereng Merapi, Rugikan Negara Rp 3 T",Positive,Negative,Neutral,TIED,Neutral,0
"Kelompok Bersenjata Tembaki Rumah-rumah di Yunani, 2 Orang Tewas",Negative,Negative,Neutral,Negative,Negative,-1
"Video: Pemasok Narkoba ke Onad Ditangkap, Ini Barbuk yang Disita Polisi",Neutral,Negative,Neutral,Neutral,Neutral,0
"Danrem Wira Bima Tanam Pohon di Polres Siak, Dukung Green Policing",Positive,Positive,Neutral,Positive,Positive,1
"Megawati: Saya sama Mas Bowo Akrab, Jangan Anda Coba-coba!",Neutral,Neutral,Neutral,Neutral,Neutral,0
Video: Heboh Wanita Naik Motor Tanpa Helm Masuk Tol Cikampek,Neutral,Negative,Neutral,Neutral,Neutral,0
"Video Budi Arie: Projo Tak Akan Jadi Partai, Bakal Ganti Logo Jokowi",Neutral,Neutral,Neutral,Neutral,Neutral,0
Video: Respons Dasco Setelah Budi Arie Beri Sinyal Gabung Gerindra,Neutral,Neutral,Neutral,Neutral,Neutral,0
"Wamentrans Sebut Transmigran Dapat HPL 1-2 Hektare, Ini Tujuannya",Neutral,Positive,Neutral,Neutral,Neutral,0
"Video Ada Konser BLACKPINK-HYDE, Ini Pantauan Lalin Jalan Asia Afrika",Neutral,Neutral,Neutral,Neutral,Neutral,0
Alasan di Balik Tak Ada Ponsel di Genggaman Megawati,Neutral,Neutral,Neutral,Neutral,Neutral,0
"Hampir Ditabrak Mobil, 2 Orang di Jakut Malah Dikeroyok Sopir dan Penumpang",Negative,Negative,Neutral,Negative,Negative,-1
Petaka bagi Onad yang Positif Narkoba,Neutral,Negative,Neutral,Neutral,Neutral,0
"Ngerinya Tabrakan di Bekasi, Kepala Truk Sampai Gepeng Usai Kecelakaan",Negative,Negative,Neutral,Negative,Negative,-1
"Banjir Rendam 895 Rumah di Rowokangkung, Lumajang, Pemkab Salurkan Bantuan",Negative,Negative,Neutral,Negative,Negative,-1
"Dinilai Sukses Sinergikan Pusat-Daerah, Tito Raih CNN Indonesia Awards 2025",Positive,Positive,Neutral,Positive,Positive,1
"Polemik Utang Whoosh, Hasto Sebut PDIP Sudah 3 Kali Ingatkan Jokowi",Neutral,Negative,Negative,Negative,Negative,-1
"Resmikan Gedung SPPG di Baubau, Bima Arya Tegaskan Dua Target Utama MBG",Positive,Neutral,Neutral,Neutral,Neutral,0
Program KAS PAM Jaya untuk Biaya Flat Murah Air bagi RTSS : Hemat & Efisien,Positive,Positive,Neutral,Positive,Positive,1
Video Prabowo Tiba di RI Setelah Selesai Menghadiri KTT APEC di Korsel,Neutral,Neutral,Neutral,Neutral,Neutral,0
HNW Kecam Keras Anggota Kongres AS soal Pencaplokan Kompleks Al-Aqsa,Neutral,Negative,Neutral,Neutral,Neutral,0
Video Budi Arie Persilakan Penegak Hukum Periksa Whoosh,Neutral,Neutral,Neutral,Neutral,Neutral,0
Anak 6 Tahun di Bekasi Tewas Disengat Tawon,Negative,Negative,Neutral,Negative,Negative,-1
Penjual Jas Hujan 'Banjir' Rezeki di Konser BLACKPINK,Positive,Positive,Neutral,Positive,Positive,1
"Jelang Hari Pahlawan, Mensos Doa Bersama Komunitas Pemulung Bantargebang",Positive,Neutral,Neutral,Neutral,Neutral,0
Pemasok Narkoba ke Onad Ditangkap!,Positive,Negative,Neutral,TIED,Neutral,0
"Iseng Berujung Cuan, Mina-Sinci Buka Jasa Kepang Rambut di Konser BLACKPINK",Neutral,Positive,Neutral,Neutral,Neutral,0
"Jalani Tes Urine, Teman Onadio Leonardo yang Ditangkap Juga Positif Narkoba",Negative,Negative,Neutral,Negative,Negative,-1
Megawati Minta Hati-hati Beri Gelar Pahlawan: Jangan Gampang Dong!,Neutral,Neutral,Negative,Neutral,Neutral,0
Israel Bilang 3 Jasad yang Diserahkan Hamas Bukan Sandera,Neutral,Neutral,Neutral,Neutral,Neutral,0
Video Budi Arie Arahkan Kader Projo Dukung MBG-Sekolah Rakyat,Neutral,Neutral,Neutral,Neutral,Neutral,0
"Sempat Hilang, ABK di Jakut Ditemukan Tewas Tenggelam",Negative,Negative,Neutral,Negative,Negative,-1
Prabowo Tiba di Halim Usai Hadiri KTT APEC di Korsel,Neutral,Neutral,Neutral,Neutral,Neutral,0
Yordania-Jerman Tegaskan Pasukan Internasional di Gaza Perlu Mandat PBB,Positive,Neutral,Neutral,Neutral,Neutral,0
"Tindak Tegas Online Scam, Satgas Siber PMJ Blokir Ribuan Situs-Rekening Ilegal",Positive,Negative,Neutral,TIED,Neutral,0
"3 Hari Kebanjiran, Warga Jati Padang Mulai Alami Gatal hingga Diare",Negative,Negative,Neutral,Negative,Negative,-1
Anti Scam Center Polda Metro Bisa Blokir Rekening Penipu Cuma 15 Menit!,Positive,Positive,Neutral,Positive,Positive,1
5 Berita Terpopuler Internasional Hari Ini,Neutral,Positive,Neutral,Neutral,Neutral,0
"Tangani Masalah Lansia, Kemensos Gelar Pelatihan Care Economy di Sulsel",Positive,Positive,Neutral,Positive,Positive,1
Video: Pria di Riau Dibunuh Teman-Dikubur Pakai Terpal gegara Masalah WiFi,Negative,Negative,Neutral,Negative,Negative,-1
