News_Data,Labelling
Andre Rosiade Kembali Serahkan Bantuan untuk Korban Banjir Bandang Sumbar,1
3 Hakim Terdakwa Suap Vonis Lepas Perkara Migor Dihukum 11 Tahun Penjara!,-1
Akhirnya Warga Cikande Bisa Pulang ke Rumah Buntut Heboh Radiasi,-1
Gus Yahya Persilakan Proses soal Aliran Rp 100 M: Tapi Jangan Mengada-ada,-1
Puan Minta Pemerintah Jaga Lisan-Lebih Berempati Tangani Bencana Sumatera,0
Ratusan Makam Dipindahkan untuk Pembangunan Tol Yogya-Bawen,0
"Mendagri Jamin Beras Cukup, Minta Pemda Terdampak Bencana Koordinasi Bapanas",1
"Video Percepat Distribusi Logistik, BNPB Lakukan Modifikasi Cuaca di Sumatera",1
Prabowo Bakal Terima Kunjungan Ketua MPR China di Istana Besok,0
"Peringati HDI 2025, Mensos Puji Karya Disabilitas yang Semakin Berkualitas",1
Komisi VIII DPR Cerita Banyak Mayat Korban Banjir Sumatera Belum Terjamah,-1
Puan Minta Evaluasi Usai Bantuan Korban Bencana Pecah Dijatuhkan dari Heli,-1
"Pemerintah Belum Tetapkan Bencana Nasional, Puan Minta Fokus Kirim Bantuan",0
Dampak Siklon Ditwah Lumpuhkan Wilayah Sri Lanka,-1
281 Tambang Emas Ilegal di TN Gunung Halimun Salak Disegel Petugas,-1
"13 Stasiun Pendaftaran Motis Nataru 2025/2026, Cek Lokasinya",0
Polisi Tak Temukan Unsur Pidana Terkait Bocah Tewas di Selokan Cilegon,-1
WamenPANRB Dorong Penguatan Ekosistem Pembelajaran ASN di Era Serba Cepat,-1
"Video Kapolri Selidiki Kayu Gelondongan: Apabila Ada Pelanggaran, Kita Proses",-1
Bantuan Sosial Terus Berdatangan ke Posko Bencana Halim,1
"Video Mendagri Minta Pemda Punya Anggaran Lebih Bantu Aceh, Sumut dan Sumbar",1
Gus Yahya Jelaskan Alasan Ganti Gus Ipul dari Sekjen PBNU,0
Video: Surat Raja Charles untuk Korban Banjir Asia Selatan-Tenggara,0
"Jadi Ketua Dewan Penasihat KSPSI, Kapolri Komitmen Perjuangkan Hak-hak Buruh",1
"BNPB Lanjut Modifikasi Cuaca Aceh-Sumut, Harap Percepat Pembersihan Jalur",1
"Polda Kalsel Amankan 57 Tersangka dan Musnahkan 1,4 Kg Narkoba",-1
Kenapa Purnama Desember Disebut Cold Moon? Ini Penjelasannya,0
Komisi VIII Taksir Kerugian Bencana Sumatera Lebih Rp 200 T: Tanggung Jawab!,-1
"Komisi XIII DPR: Pemprov Tak Kuat Tangani Bencana, Perlu Tangan Pusat",0
Video: Mendagri soal Kabar Kepala Daerah Menyerah Tangani Bencana,0
KPK Ungkap Ada Banyak Titik Lahan Proyek Whoosh yang Diselidiki,1
BMKG Imbau Aceh dan Sumut Siaga Hujan Lebat Beberapa Hari ke Depan,-1
Video: Kapolri Sebut Para Pelaku Penjarahan Minimarket di Sumut Sudah Dibebaskan,-1
Alasan Pemerintah Belum Tetapkan Status Bencana Nasional di Sumatera,-1
"Kapolri Ajak Buruh Sinergi Jaga Kamtibmas, Dukung Kebijakan Pemerintah",0
Korban Tewas Banjir Thailand Bertambah Jadi 267 Orang,-1
Video: Suami Dewi Astutik Kaget Istrinya Terseret Kasus Sabu Rp 5 T,-1
"BNPB Koreksi Data Korban Bencana Sumatera: Meninggal 770 Orang, 463 Hilang",-1
Dibuka! Simak Cara Cek Kuota Magang Nasional 2025 Batch 3,1
"Dorong Perubahan, Menteri Imipas Terima Penghargaan Transformational Leader dari LAN",0
"Waspada Potensi Banjir Rob Jakarta 4-6 Desember, Prediksi Puncak 5 Desember",-1
"Ada Cold Moon 4-5 Desember, Simak Prakiraan Pasang Laut BMKG",0
Pesisir Sejahtera Lewat Karbon Biru,1
"Korban Bencana Sumatera Tembus 807 Jiwa, Pemerintah Kerahkan Penanganan Nasional",-1
MenPAN-RB Ajak Talenta Politeknik Kemenhub Jadi Penggerak Transformasi,1
Polda Kalsel-TNI-BPBD-BNNP Siaga Hadapi Bencana Cuaca Ekstrem,1
"Wakapolri Tiba di Aceh Tamiang, Cek Kebutuhan Para Pengungsi",1
"Kunjungi Sekolah Rakyat, Wamendagri Wiyagus Apresiasi Pendidikan Karakter",0
Mendagri Apresiasi Kepala Daerah Sumbang Dana untuk Sumatera: Ini Solidaritas,1
Bima Arya Tekankan Pentingnya Aglomerasi untuk Megapolitan Jabodetabek,0
Hujan-Angin Kencang Bikin Pohon Besar di Jl Muchtar Raya Depok Tumbang,-1
Ritual Sesaji Iringi Doa untuk Korban Kebakaran Maut Apartemen Hong Kong,-1
Video: Kondisi Minimarket di Tapteng Sumut Usai Dijarah Warga,-1
Video: Akankah Musibah di Sumatera Jadi Bencana Nasional? Ini Kata Pratikno,0
"Negosiasi 5 Jam, AS-Rusia Gagal Berkompromi Soal Wilayah Ukraina",0
5 Berita Terpopuler Internasional Hari Ini,0
"Video: Puluhan Ribu Hektare Hutan di Aceh, Sumut dan Sumbar Hilang",-1
BMKG Imbau Waspada Puncak Musim Hujan,0
Seskab Teddy: Kerusakan Lingkungan Memperparah Bencana Sumatera,-1
Menteri LH Duga Gelondongan Kayu Terbawa Banjir Sumatera Sisa Buka Kebun Sawit,-1
Taiwan Ungkap China Bikin Simulasi Serangan ke Kapal Perang Asing,0
Ketua KPK Jamin Kasus Eks Dirut ASDP Sesuai Prosedur: Rehabilitasi Hal Berbeda,0
"Terekam CCTV, Maling HP di Ciracas Jaktim Diringkus Polisi",-1
PELNI Salurkan Bantuan Darurat untuk Korban Banjir Bandang Sumut,1
"3 Tokoh Penggerak Keadilan bagi Penyandang Disabilitas, Simak Profilnya!",1
"Haul Guru Sekumpul Akhir Tahun, Polda Kalsel Dibantu Mabes Polri",0
Doli Sebut Sejumlah Daerah di Sumatera Tak Sanggup Lagi Tangani Bencana,-1
KPK Undang Prabowo Hadiri Puncak Hakordia 2025 di Yogyakarta 9 Desember,0
"Jelang 5 Rajab, Polda Kalsel Perkuat Pengamanan Haul Sekumpul",0
"Gus Yahya Nyatakan Masih Ketum PBNU, Bersiap Tempuh Jalur Hukum",0
Khofifah Ajak Desa Ikut Sukseskan Program Strategis Nasional,1
Bamsoet Dilaporkan ke MKD Urusan Tingkat Kehadiran di Rapat DPR,0
KPK Galang Donasi untuk Korban Bencana di Sumatera,1
"Turun Gunung, Walkot Agung Pastikan Jalan di Pekanbaru Mulus",1
Israel Segera Izinkan Warga Gaza Pergi ke Mesir,1
Duka Warga Agam Mencari Istri yang Hilang di Tengah Bencana,-1
"Perkuat Diplomasi RI-Rusia, Menbud Resmikan 'The Bust of Leo Tolstoy'",0
Kapolri Dikukuhkan sebagai Ketua Dewan Penasihat di Rapimnas KSPSI AGN 2025,0
Menko PMK Minta Maaf Jika Ada Kekurangan Penanganan Bencana di Sumatera,0
Polda Metro Tangkap 3 Pelaku Pemerasan Usai Korban Lapor Via 110,-1
"Jalan Radar Auri Depok Banjir Usai Hujan Deras, Sejumlah Motor-Mobil Mogok",-1
S2P Kembangkan Kelompok Ternak di Desa Karangkandri Jadi Lebih Modern,1
"PKB Jawab Golkar: Cak Imin Nggak Nyuruh, dari Dulu Serukan Tobat Ekologis",0
"Maling Hantam Warga Bogor Pakai Linggis hingga Luka-luka, Pelaku Diburu",-1
Eks Sekda Buka-bukaan Usai Dicopot Walkot Cilegon,0
"Pemerintah Waspada Hujan Ekstrem Akhir Tahun, Siapkan Modifikasi Cuaca",1
Pohon Tumbang Timpa Mobil Imbas Hujan Deras-Angin Kencang di Depok,-1
Kemensos Pastikan Bantuan Logistik Sudah Tiba di Aceh Tamiang,1
Menteri LH Sebut PT PMT Ditetapkan Tersangka Kasus Radioaktif Cs-137 Cikande,-1
"Presiden Prancis ke China, Redam Krisis Dagang Eropa-Beijing?",0
Ada Supermoon 5 Desember 2025: Waktu dan Tips Pengamatan,0
Kades soal Balita Dianiaya Ortu di Bogor: Kaki Patah-Kepala Dioperasi,-1
Pemkab Lebak Bakal Gratiskan PBB Lahan Petani di Bawah 5.000 Meter Persegi,0
Kata Mendagri soal Kabar Kepala Daerah Menyerah Tangani Bencana Sumatera,0
"22 Sekolah di Medan Masih Terdampak Banjir, Begini Kondisinya",-1
"Ngomel-ngomel, Trump Sebut Imigran Somalia 'Sampah'",0
"Bupati Aceh Utara Surati Prabowo, Ngaku Tak Mampu Tangani Bencana",0
Anggota DPRD Surabaya Dorong Percepatan Program Rutilahu 2025-2026,0
"Andre Rosiade Cek Kondisi Jaringan di Agam, Puluhan BTS di Sumbar Rusak",-1
Video: Nasib Driver Ojol Usai Lawan Arah hingga Baku Hantam di Jakbar,-1
"Terus Bertambah, Korban Tewas Banjir Sri Lanka 465 Orang-366 Hilang",-1
Gembong Narkoba Dewi Astutik Pakai Nama Adik Saat Jadi TKW,-1
Menteri LH: Kami Tak Ragu Sanksi Pemda Jika Kebijakannya Perburuk Landscape,1
Mendagri Dorong Pemda Alokasikan APBD untuk Urusan Kepemudaan & Olahraga,0
Polda Banten Bakal Tindak Perusahaan yang Belum Reklamasi Pascatambang,1
"Balita di Tajurhalang Bogor Diduga Dianiaya Ortu, Kakek Korban Lapor Polisi",-1
"Kapolri Buka Rapimnas KSPSI AGN 2025 di Senayan, Dihadiri Ribuan Massa Buruh",0
"Pulihkan Akses, Pembersihan Material Longsor di Tanah Datar Dikebut",0
Video: Prabowo Instruksikan Penanganan Bencana Sumatera Jadi Prioritas Nasional,1
Jadwal Kereta Khusus Petani dan Pedagang dan Rute Perjalanannya,1
BMKG Prediksi Hujan Lebat di Sejumlah Wilayah Banten: Waspada Banjir,-1
Wakapolri Ajak Peserta Ojol Kamtibmas di Lampung Doakan Korban Bencana Sumatera,0
Sidang Tuntutan 17 Prajurit Terdakwa Kematian Prada Lukcy Ditunda,0
Kapolri Pastikan Penjarah Minimarket di Sibolga Sudah Dilepas,1
"Cara Update Bencana di Aceh, Sumut dan Sumbar, Ini Link Resmi BNPB",0
Andre Rosiade Serahkan 5.000 Paket Bantuan Korban Banjir Bandang di Agam,1
Prabowo Instruksikan Penanganan Bencana Sumatera Jadi Prioritas Nasional,1
Puluhan Pegawai SPPG di Pandeglang Dilatih soal Kebersihan-Keamanan Pangan MBG,1
Wakapolri Pimpin Ojol Kamtibmas Polda Lampung: Semoga Ini Jadi Simpul Kolaborasi,0
Kemensos Beri Perhatian Khusus Penyandang Disabilitas Korban Bencana Sumatera,1
Hakim Tegur Marcella Santoso dan Suami gegara Bisik-bisik Saat Sidang,0
"Golkar: Yang Bisa Nyuruh Tobat Itu Presiden, Cak Imin sebagai Apa?",0
Daftar Peristiwa yang Pernah Ditetapkan Jadi Bencana Nasional,0
Mendagri Tegaskan Kepala Daerah Perlu Pahami Manfaat Pengembangan Geopark,1
Update Data BNPB: Korban Meninggal Bencana Sumatera Tembus 807 Orang,-1
"Ngantuk Berat, Trump Ketiduran Saat Rapat Kabinet",0
Video Kisah Ibu-Anak di Sumbar Selamat dari Banjir: Berpegangan pada Pohon,1
Gus Ipul soal Gejolak PBNU: Kita Serahkan ke Ulama,0
"Muncul Desakan Darurat Bencana Nasional di Sumatera, Ini Kata Menko PMK",0
Mahyeldi: Semua Daerah Terdampak Bencana di Sumbar Sudah Bisa Diakses,1
"Kehabisan Bahan Baku-Gas, SPPG Aceh Beralih ke Bahan Lokal & Briket",-1
Kabel Data Bawah Laut AS-Asia Rentan Disabotase?,-1
"Pemotor Minta Parkir Gratis di Mapolda, Polda Metro Jelaskan Aturan Tarif",0
Menteri LH Respons Desakan 'Pecat' Buntut Bencana Sumatera,-1
"Hari Disabilitas, Kemensos Tampilkan Karya Seni Anak Penyandang Disabilitas",1
Maling Motor di Pandeglang Coba Kabur Saat Dikejar Polisi Berakhir Masuk RS,-1
"Bantuan Beras Pecah Dijatuhkan dari Heli, Pemerintah Evaluasi Distribusi",-1
"Proyek Drainase Cinere Tutup Satu Jalur, Motor Melintas Perlahan",-1
"Video: Buruh-Mahasiswa Bentrok di Pelabuhan Manokwari, 3 Polisi-TNI Terluka",-1
"Dilaporkan Hilang, Bocah 3,5 Tahun di Cilegon Ditemukan Tewas di Selokan",-1
Apakah BSU Cair Lagi di Bulan Desember 2025? Cek Infonya!,0
Video: Progres Perdamaian di Ukraina Masih Gitu-gitu Aja,0
Menanti Gerak Cepat Pemerintah Pusat Tangani Bencana Sumatera,0
"Ada Potensi Banjir Pesisir hingga 15 Desember, Ini Daftar Wilayahnya",-1
2 Kader NU Raih Penghargaan Pemimpin Transformatif dari LAN,1
Pemerintah Usut Gelondongan Terbawa Banjir di Sumatera Pakai Citra Satelit,1
"Video: 9 Petani di Kota Serang Tersambar Petir, 4 Orang Tewas",-1
Video: Pencarian Pesawat MH370 Malaysia akan Dilanjutkan 30 Desember 2025,0
"Trump Pecat 8 Hakim Imigrasi di New York, Alasannya Tak Jelas",0
Jejak Banjir Bandang Aceh Tamiang yang Hancurkan Ribuan Rumah Warga,0
KPK Panggil Ajudan Gubernur Riau Terkait Kasus 'Jatah Preman',-1
"Jaringan Dewi Astutik Edarkan Narkoba di Indonesia, Hong Kong hingga Brasil",-1
"Viral Mahasiswa UNS Dilecehkan Modus Gim Truth or Dare, Kampus Buka Suara",0
"Cak Imin Serukan Tobat Nasuha Buntut Bencana Sumatera, PSI Bela Raja Juli",0
Ini Ternyata Pemicu Gembong Narkoba Dewi Astutik Juga Diburu Korsel,-1
Aksi Aiptu Maliana Bongkar Kasus Sodomi-Selamatkan Anak Diculik di Kapuas,-1
"Menteri LH: Jabar Kehilangan Kawasan Lindung 1,2 Juta Ha, Rentan Bencana",-1
Geger Warga Parung Bogor Temukan Mayat Pria Kondisi Busuk di Dalam Rumah,-1
"Sempat Direlokasi, Warga Cikande Terdampak Cesium-137 Sudah Pulang ke Rumah",-1
"Cekal Sejumlah Orang, KPK Usut Otak Utama Korupsi Kuota Haji",-1
Wakil Wali Kota Jakbar Jadi Plt Usai Uus Kuswanto Jadi Sekda DKI,0
Video Badan Meteorologi PBB soal Siklon Tropis Senyar Hantam Indonesia,0
"Trump Setop Permohonan Imigrasi dari 19 Negara, Siapa Saja?",0
BPBD Badung Siap Replikasi Model Tanjung Benoa ke Seluruh Kecamatan,1
Pramono Ingatkan Jajaran Hati-hati Buat Konten di Medsos: Tak Boleh Berlebihan,0
"Geger Ular 3,5 Meter Masuk Gorong-gorong di Depok, Damkar Evakuasi",0
Anggaran On Call Rp 4 Triliun Bisa untuk Penanganan Bencana di Sumatera,1
Pramono Dorong PAM Jaya Perluas Pipanisasi Penuhi Air Bersih di Muara Angke,0
"Muswil Partai, Cucun Targetkan PKB Raup 5 Kursi DPR di Banten",0
Dunia Hari Ini: Puluhan Pasangan Menikah Massal di Gaza 2 Tahun Usai Serangan Israel,1
"Driver Ojol Lawan Arah di Jakbar hingga Baku Hantam, Kini Dinonaktifkan",-1
Pria Bareng Dewi Astutik Saat Ditangkap Diduga Pacarnya WN Pakistan,-1
"Menteri LH Ungkap Data Pengurangan Hutan di Aceh, Sumbar, dan Sumut",-1
"Menegangkan! Ditembaki Pria Bersenjata, Capres Peru Balas Tembakan",-1
"Dasco Pimpin Rapat Komisi I DPR Bareng Kabin, Kabais, hingga Kabaintelkam",0
Pramono Minta Speaker Masjid-Gereja Dipakai untuk Info Peringatan Dini Banjir,0
"Viral Pria Ngaku Kena Pungli Saat Antar Bantuan di Sumut, TNI Membantah",-1
Video Tangis Abdul Cari Istri Hilang Tersapu Banjir: Saya Merasa Tak Berguna,-1
"Potret Jalur Tarutung-Sibolga Belum Bisa Dilewati Total, Proses Pembersihan",-1
Pertamina Patra Niaga Sumbagut Kirim Bantuan LPG ke Sibolga & Pulau Nias,1
"Mobil Tergelincir Usai Nyasar di Gunung Pancar Bogor, Wisatawan Panggil Damkar",-1
"Polda Metro Tangkap Pengedar Narkoba di Cengkareng, Sita 4,6 Kg Ganja",-1
Kemenag Beri Kelonggaran Absensi Mahasiswa-Dosen di PTKI Terdampak Bencana Alam,1
"Video: Trump Marah di Rapat Kabinet, Minta Imigran Somalia Minggat dari AS",0
Suami Pasrah Dewi Astutik Ternyata Gembong Narkoba Rp 5 Triliun,-1
"Banjir Rob Genangi RE Martadinata Jakut, Lalu Lintas Tersendat",-1
Dirut Pertamina Patra Niaga Tinjau Pekerja-Keluarga Terdampak Banjir Medan,1
KemenPAN-RB Jaring Masukan Terkait Penataan Pengawasan Sistem Merit,0
Menteri LH Akan Panggil Perusahaan Diduga Terlibat Banjir di Sumatera,1
BNN Usut Kaitan Gembong Narkoba Dewi Astutik dengan Fredy Pratama,-1
Video: Kemeriahan Pernikahan Massal di Tengah Puing-puing Bangunan di Gaza,1
Kiprah Bripka Rikha Bongkar Kasus Pencabulan hingga Pengantin Pesanan di Kalbar,-1
Pramono Ingin Perayaan Natal dan Tahun Baru di Jakarta Lebih Semarak,0
MenteriPAN-RB Rini Raih Penghargaan Adibhakti Sanapati 2025 dari BSSN,1
Beda KPK dengan RK Perkara Mercy-Moge hingga Laporan Keuangan,-1
Kata BNPB soal Desakan Penetapan Status Bencana Nasional di Sumatera,0
Mengapa Siklon Tropis Jarang Terjadi di Indonesia? Ini Kata BMKG,0
"13,5 Ton Cengkih Terpapar Radioaktif Kembali ke RI, Akan Dimusnahkan KLH",-1
Pramono Minta Bersihkan Jalan dari Bendera Parpol: Maksimal 3 Hari Habis Acara,1
"Thailand Beri Rp 1 M untuk Korban Banjir, Proses Birokrasi Dihilangkan",1
Guru di Era Prabowo: Dari 'Tukang Ajar' Jadi Enabler Global,1
"Dewi Astutik Buron Sabu Rp 5 T Nama Aslinya Paryatin, Asal Ponorogo",-1
Sisa Genangan Air Banjir Bandang Masih Selimuti Kota Langsa,-1
"1.136 Ton Material Tercemar Radiasi di Cikande, 1 Rumah Belum Didekontaminasi",-1
"Pramono Kumpulkan Kadis-Camat, Minta Siaga Cuaca Ekstrem di Akhir Tahun",1
"Bantuan Tahap II Polda Riau Meluncur ke Sumbar: Sembako, Tangki Air dan Alat Berat",1
Bakti BCA Salurkan Bantuan ke Korban Bencana di Medan hingga Langkat,1
2.029 Polisi Amankan Kunjungan Ketua MPR China di Jakarta,0
"Wamen HAM RI Temui AHRC, Bahas Kerja Sama dan Dialog HAM Indonesia-Australia",0
Pencarian Pesawat MH370 Akan Dilanjutkan Lagi 30 Desember,-1
Video: Aksi Polantas Angkat Ban Pemotor Ngeyel yang Lawan Arah di Cibinong,0
"Cak Imin Ajak Tobat Nasuha, Menteri Lingkungan Sadar Belum Sempurna",0
"Badung Buktikan Komitmen Fiskal, Sabet Apresiasi Perbaikan Akses Pendidikan",1
Majelis Umum PBB Serukan Akhiri Pendudukan Palestina!,1
Badung Raih Apresiasi Tertinggi Perbaikan Akses Pendidikan Nasional,1
Polisi Sedot BBM Motornya ke Perahu untuk Evakuasi 3 Jasad Korban Banjir Aceh,-1
Astamaops Salurkan Bantuan di Lhokseumawe: Kapolri Titip Tepat Waktu-Sasaran,1
"Tabrakan Saat Nyalip, Pemotor di Gunung Sindur Bogor Tewas Terlindas Truk",-1
Pemkab-Kodim 0620 Cirebon Gelar Latihan Besar Kesiapsiagaan Bencana Alam,1
Dilema Penduduk Donbass Antara Hidup di Bawah Rusia atau Mengungsi,0
Sistem Pertahanan & Keamanan RI Dinilai Belum Jawab Tantangan Perang Siber,-1
Video: Hal-hal yang Perlu Diketahui dari Buron Sabu Rp 5 T Dewi Astutik,-1
"Update Korban Banjir-Longsor di Sumut: 298 Orang Tewas, 169 Hilang",-1
Cara Ipda Motalip Dekatkan Diri ke Warga untuk Jaga Keamanan di Nduga,1
"Banjir Rob Setinggi 20 Cm di Jakut Pagi Ini, Lalin Sempat Macet",-1
TNI Kirim Bantuan Metode Airdrop untuk Warga Aceh Tamiang yang Terisolasi Banjir,1
"Gagal Nyalip, Pemotor di Dramaga Bogor Tewas Terlindas Truk",-1
Tanggul Mitigasi Dibangun di Muara Angke Antisipasi Banjir Rob 1-10 Desember,1
Berubah Drastis: Foto Sebelum & Sesudah Banjir Bandang di Aceh-Sumatera,-1
Paus Leo Kritik Sentimen Anti-Muslim di Eropa dan AS,-1
Video: 50 Warga Terjebak di Hutan Saat Banjir di Tapteng Ditemukan Selamat,1
Video: Sindikat Pencuri Dompet Suami Jeon Hye Bin Terungkap,-1
Video Badan Meteorologi PBB Lihat Data Korban Banjir Sumatera: Sangat Besar,-1
Polisi Ungkap Siasat Bejat Ayah Tiri Cabuli Kakak-Adik di Cibinong Bogor,-1
Polisi Kerahkan 1.365 Personel Kawal Demo di 3 Titik Jakpus Hari Ini,0
"Akses ke Langsa Aceh Terputus, 1,5 Ton Bantuan Dikirim Pakai Heli",-1
"Video Putin: Jika Eropa Memutuskan Memulai Perang, Kami Siap Sekarang Juga",-1
Video Kesaksian Korban Banjir Sumatera: Kampung Itu Rata dengan Kayu,-1
"Jembatan Juli Putus Diterjang Banjir, Warga Aceh Kini Menyeberang Lewat Kabel Baja",-1
"Pengungsi di Bireuen Mulai Sakit, Kemenkes Tambah Tim-Logistik Krisis",-1
"Jejak Licin Dewi Astutik, Buron Sabu Rp 5 T yang Suka Pindah Negara",-1
"9 Petani di Kota Serang Tersambar Petir, 4 Orang Meninggal",-1
Komdigi Dirikan Posko Dukungan Psikososial di Daerah Terdampak Bencana,1
Polda Riau Lepas 42 Psikolog untuk Trauma Healing Korban Bencana Agam,1
"Tembus Aceh Tamiang, Kemensos Kirim Logistik dengan Kapal & Helikopter",1
"Direlokasi ke Rusun Jagakarsa, Warga Menteng Pulo 2 Harap Harga Sewa Terjangkau",0
"Menbud Resmikan Museum Semedo, Dorong Jadi Ruang Edukasi & Ruang Kultural",1
Cerita 50 Warga Tapteng Bertahan Hidup 2 Hari di Hutan saat Banjir Menerjang,-1
Komisi VIII DPR Dorong Status Bencana Nasional di Sumatera: Korban Meluas,0
Video: Kenapa Harus Peduli untuk Mengembalikan Ekosistem Awal?,0
Video: Menteri LH Rencanakan ProKlim 2026 Bakal Ada Sertifikat Emisi Karbon,1
Pengakuan RK Menanti-nanti Diperiksa KPK,0
Digitalisasi Pembelajaran Kunci Pemerataan Akses Pendidikan di Tanah Air,1
Korban Bencana Sumatera Butuh Tambahan Dokter,-1
Perlawanan Tannos Lawan KPK Kandas di Praperadilan,0
Data Terbaru BNPB: Korban Meninggal Bencana Sumatera Capai 753 Orang,-1
Info Kepadatan di Tol Arah Jakarta Pagi Ini,-1
Komisi IX DPR Usul Kemenkes Punya Satgas Nakes Tanggap Bencana,1
"Berlin Heboh, Patung Walter Lubcke Dipasang Aktivis di Depan Kantor CDU",0
4 Fakta Tabrakan Beruntun 9 Kendaraan di Tol Cipularang Makan Korban Jiwa,-1
"Angkot Stasiun Citayam Bikin Macet, Dishub Urai Macet di Jam Sibuk",-1
Potret Lesu Gembong Narkoba Rp 5 T Dewi Astutik Usai Ditangkap BNN,-1
5 Fakta Buron Sabu Rp 5 T Dewi Astutik Ditangkap di Kamboja,-1
"Potensi Banjir Pesisir 1-10 Desember, DKI Siapkan 1.200 Unit Pompa",-1
"Tanam Jagung di Lampung, Wakapolri: Ketahanan Pangan Tak Hanya Program Tapi Kerja Bersama",0
Kabar Terkini Kasus Illegal Logging Mentawai Bikin Rugi Negara Rp 447 M,-1
Polri Kirim Tenda-Solar Panel untuk Bantu Korban Banjir-Longsor Sumatera,1
"Tema Hari Disabilitas Internasional 2025, Diperingati Tanggal 3 Desember",0
Waka MPR Dorong Status Bencana Nasional di Sumatera: Syarat Terpenuhi,0
Video: TNI Respons Pria Ngaku Diperas saat Mau Kirim Bantuan Banjir Langkat,-1
