Title,1st Annotator,2nd Annotator,3rd Annotator,Voting Result,Final Take,Labelling
5 Rekomendasi Drama Korea Terbaru November 2025,Neutral,Neutral,Positive,,,
,,,,,,
"Sports Sepekan: Megawati Tinggalkan Manisa, Veda Ega Resmi ke Moto3",Neutral,Neutral,Neutral,,,
,,,,,,
Morgan Stanley Prediksi Harga Emas ke Angka Ini di 2026,Neutral,Neutral,Neutral,,,
,,,,,,
Kata-kata Pelatih Timnas Futsal Indonesia Usai Hajar Australia,Neutral,Neutral,Neutral,,,
,,,,,,
FOTO: Ratusan Mobil Antik Tersimpan Apik di Museum Kebon Vintage Car,Neutral,Positive,Neutral,,,
,,,,,,
"Hasil Liga Inggris: Emi Martinez Blunder, Liverpool Hajar Aston Villa",Neutral,Neutral,Neutral,,,
,,,,,,
"Hasil Liga Spanyol: Mbappe 2 Gol, Real Madrid Bantai Valencia",Neutral,Neutral,Neutral,,,
,,,,,,
"Kalah Saing dengan OpenAI, Microsoft Siapkan AI Ramah Anak",Positive,Positive,Neutral,,,
,,,,,,
"Hasil Liga Italia: Emil Audero Marah-marah, Cremonese Dihajar Juventus",Neutral,Neutral,Negative,,,
,,,,,,
"FOTO: China Luncurkan Roket Shenzhou-21 Lagi, Bawa Astronaut Termuda",Neutral,Positive,Neutral,,,
,,,,,,
"Hasil Chennai Open: Aldila/Janice Lolos ke Final, Lawan Banting Raket",Neutral,Positive,Neutral,,,
,,,,,,
"Disney-YouTube Gagal Negosiasi, Jutaan Warga AS Gigit Jari",Neutral,Neutral,Negative,,,
,,,,,,
"Dua Pria Tikam Penumpang Kereta Api, 9 Orang Terluka",Negative,Negative,Neutral,,,
,,,,,,
Hasil Studi: Ciri Psikopat Bisa Dikenali dari Makanan Kesukaan,Neutral,Neutral,Neutral,,,
,,,,,,
Mengerikan! Ini 10 Badai Terbesar Dalam Sejarah Dunia,Neutral,Negative,Negative,,,
,,,,,,
Presiden Korsel Minta Prabowo Lanjutkan Kerja Sama Proyek Jet Tempur,Positive,Neutral,Neutral,,,
,,,,,,
Banjir Besar! 31 Tewas dan Puluhan Masih Hilang,Negative,Negative,Neutral,,,
,,,,,,
"Tanah Bisa Hilang Sekejap, Ini 4 Modus Kejam Mafia Tanah di Indonesia",Neutral,Negative,Neutral,,,
,,,,,,
Harga Perak Masih Menguat Sepekan di Tengah Tekanan The Fed,Neutral,Neutral,Neutral,,,
,,,,,,
"Menang Banyak Belanja di Transmart Hari Ini, Ada Diskon Besar!",Neutral,Positive,Neutral,,,
,,,,,,
IHSG Bisa Tergelincir di November! Polanya Mirip 2017 & 2021,Negative,Neutral,Neutral,,,
,,,,,,
Peneliti Asing Ungkap Ada Ancaman Besar di Wilayah RI Ini,Negative,Negative,Negative,,,
,,,,,,
"PDIP Bongkar Fakta Lama Soal Kereta Cepat Whoosh, Sebut-Sebut Jokowi",Neutral,Neutral,Neutral,,,
,,,,,,
Cerita Menteri Keuangan RI Dicegat Masuk Istana Gara-Gara Kijang Tua,Neutral,Neutral,Neutral,,,
,,,,,,
IHSG Bisa Tergelincir di November! Polanya Mirip 2017 & 2021,Negative,Neutral,Neutral,,,
,,,,,,
Morgan Stanley Prediksi Harga Emas Bakal Tembus Segini,Neutral,Neutral,Neutral,,,
,,,,,,
"Pesawat Airbus Mendarat Darurat, 15 Penumpang Dilarikan ke RS",Negative,Negative,Neutral,,,
,,,,,,
IHSG Bisa Tergelincir di November! Polanya Mirip 2017 & 2021,Negative,Neutral,Neutral,,,
,,,,,,
Peneliti Asing Ungkap Ada Ancaman Besar di Wilayah RI Ini,Negative,Negative,Negative,,,
,,,,,,
Cerita Menteri Keuangan RI Dicegat Masuk Istana Gara-Gara Kijang Tua,Neutral,Neutral,Neutral,,,
,,,,,,
"Pertama di Asia Tenggara, Telkomsel & OpenAI Rilis Paket ChatGPT Go",Neutral,Positive,Neutral,,,
,,,,,,
"Ada 6 Bank Bangkrut di RI, Ini Daftarnya",Negative,Negative,Neutral,,,
,,,,,,
"Wanita Ini Telah Hidup 116 Tahun, Rahasianya Bikin Kaget!",Positive,Neutral,Positive,,,
,,,,,,
"Bukan AI, Para Raksasa Teknologi Panen Cuan dari Sini",Neutral,Neutral,Positive,,,
,,,,,,
"PDIP Bongkar Fakta Lama Soal Kereta Cepat Whoosh, Sebut-Sebut Jokowi",Neutral,Neutral,Negative,,,
,,,,,,
Mau Gaji Naik Tanpa Kuliah Lagi? Kuasai Skill Ini!,Neutral,Positive,Positive,,,
,,,,,,
Era Baru Gaming Dimulai: AI Akan Kuasai Industri Bernilai Rp3.000 T,Neutral,Neutral,Neutral,,,
,,,,,,
"PDIP Bongkar Fakta Lama Soal Kereta Cepat Whoosh, Sebut-Sebut Jokowi",Neutral,Neutral,Negative,,,
,,,,,,
Cerita Menteri Keuangan RI Dicegat Masuk Istana Gara-Gara Kijang Tua,Neutral,Neutral,Neutral,,,
,,,,,,
IHSG Bisa Tergelincir di November! Polanya Mirip 2017 & 2021,Negative,Neutral,Neutral,,,
,,,,,,
Morgan Stanley Prediksi Harga Emas Bakal Tembus Segini,Neutral,Neutral,Neutral,,,
,,,,,,
"Pesawat Airbus Mendarat Darurat, 15 Penumpang Dilarikan ke RS",Negative,Negative,Neutral,,,
,,,,,,
Ahli Gizi Jepang Beberkan 5 Buah Bisa Bikin Panjang Umur & Sehat,Positive,Positive,Neutral,,,
,,,,,,
"Warren Buffett Mau Pamit dari Berkshire, Tinggalkan Uang Rp6.240 T",Neutral,Neutral,Neutral,,,
,,,,,,
Megawati Bicara Soal Hubungannya dengan Presiden Prabowo,Neutral,Neutral,Neutral,,,
,,,,,,
"Tingkatkan Kualitas Layanan, Pertamina Ajak Diskusi Komunitas Otomotif",Positive,Positive,Neutral,,,
,,,,,,
"Presiden Korsel Minta Tolong Xi Jinping Soal Kim Jong-un, Bilang Gini",Neutral,Neutral,Neutral,,,
,,,,,,
"Marak Orang Kaya Jepang Ambil Langkah ""Tabu"", Ekonomi Terancam Panas",Neutral,Neutral,Negative,,,
,,,,,,
Siap-Siap La Nina Datang. Begini Dampaknya di Musim Hujan RI,Neutral,Negative,Negative,,,
,,,,,,
"Termasuk Ikan Napoleon Bibir Tebal, Senjata Vitalitas Pria Ini Ada RI",Neutral,Neutral,Neutral,,,
,,,,,,
"Mentan Amran-Ketua MPR Turun Sidak Kios Pupuk, Begini Hasil Temuannya",Neutral,Positive,Neutral,,,
,,,,,,
"2.817 Warga Korea Tewas Bunuh Diri Tahun 2024, Ini Umur-Penyebabnya",Negative,Negative,Neutral,,,
,,,,,,
"PDIP Bongkar Fakta Lama Soal Kereta Cepat Whoosh, Sebut-Sebut Jokowi",Neutral,Neutral,Negative,,,
,,,,,,
Cerita Menteri Keuangan RI Dicegat Masuk Istana Gara-Gara Kijang Tua,Neutral,Neutral,Neutral,,,
,,,,,,
IHSG Bisa Tergelincir di November! Polanya Mirip 2017 & 2021,Negative,Neutral,Neutral,,,
,,,,,,
Morgan Stanley Prediksi Harga Emas Bakal Tembus Segini,Neutral,Neutral,Neutral,,,
,,,,,,
"Pesawat Airbus Mendarat Darurat, 15 Penumpang Dilarikan ke RS",Negative,Negative,Neutral,,,
,,,,,,
"Magang Digaji Batch II Dibuka, Hampir 2.000 Perusahaan Ikut Daftar",Positive,Positive,Positive,,,
,,,,,,
Potret Demo Besar Ribuan Mahasiswa-Petani Naik Traktor Guncang Serbia,Negative,Neutral,Neutral,,,
,,,,,,
"RI Siaga 1! BMKG Ingatkan Ancaman Badai Mirip Seroja, La Nina OTW",Negative,Negative,Negative,,,
,,,,,,
"Apa Itu Badai Melissa di Jamaika, Kenapa Bisa Picu Malapetaka Dahsyat?",Neutral,Neutral,Neutral,,,
,,,,,,
"Megathrust Intai RI-Petaka Banjir Mengancam, Siapkan Tas Siaga Bencana",Negative,Negative,Negative,,,
,,,,,,
"23 Juta Orang Nunggak, Berapa Iuran BPJS Kesehatan Berlaku 1 November?",Neutral,Negative,Negative,,,
,,,,,,
Kredit KB Bank Tumbuh Double Digit di Kuartal III-2025,Positive,Positive,Neutral,,,
,,,,,,
"Dari AC Hingga Kulkas, Aneka Elektronik Banting Harga di Transmart",Neutral,Positive,Neutral,,,
,,,,,,
"Apa Itu Penyakit Gangguan Genetik MLD yang Harga Obatnya Rp70,5 M?",Neutral,Neutral,Neutral,,,
,,,,,,
"Ada Masalah Apa Sampai Pengusaha-Buruh Mau Datang ""Bertemu"" Purbaya?",Neutral,Neutral,Neutral,,,
,,,,,,
"PDIP Bongkar Fakta Lama Soal Kereta Cepat Whoosh, Sebut-Sebut Jokowi",Neutral,Neutral,Negative,,,
,,,,,,
Cerita Menteri Keuangan RI Dicegat Masuk Istana Gara-Gara Kijang Tua,Neutral,Neutral,Neutral,,,
,,,,,,
IHSG Bisa Tergelincir di November! Polanya Mirip 2017 & 2021,Negative,Neutral,Neutral,,,
,,,,,,
Morgan Stanley Prediksi Harga Emas Bakal Tembus Segini,Neutral,Neutral,Neutral,,,
,,,,,,
"Pesawat Airbus Mendarat Darurat, 15 Penumpang Dilarikan ke RS",Negative,Negative,Neutral,,,
,,,,,,
Peran Pendidikan Global dalam Transformasi Jakarta 2030,Positive,Positive,Neutral,,,
,,,,,,
Video: Bankir Bongkar Jurus Jaga Kualitas Kredit - Nasib Kantor Cabang,Neutral,Positive,Neutral,,,
,,,,,,
"Badai PHK Ribuan Orang di Raksasa Teknologi Amazon, Meta-Microsoft",Negative,Negative,Neutral,,,
,,,,,,
"Siap-Siap Puncak Musim Hujan Dimulai, Ini Penjelasan Kepala BMKG",Neutral,Neutral,Neutral,,,
,,,,,,
Siap Pergi Liburan! Koper Banting Harga di Transmart Full Day Sale,Neutral,Positive,Neutral,,,
,,,,,,
Peringatan Terbaru Kepala BMKG Ungkap Kapan La Nina Hantam RI,Neutral,Negative,Negative,,,
,,,,,,
"Menteri LH Keluarkan Keputusan Baru, Daerah Ini Resmi Darurat Sampah",Negative,Negative,Negative,,,
,,,,,,
"Jamur Langka ""Truffle RI"" Ini Muncul Efek Petir, Harganya Rp4 Juta/Kg",Neutral,Neutral,Negative,,,
,,,,,,
Video: Jurus Asuransi Properti Manfaatkan Insentif Prabowo - Purbaya,Neutral,Positive,Neutral,,,
,,,,,,
"Sambut Bulan Baru, Saatnya Belanja di Transmart Full Day Sale",Neutral,Positive,Neutral,,,
,,,,,,
"PDIP Bongkar Fakta Lama Soal Kereta Cepat Whoosh, Sebut-Sebut Jokowi",Neutral,Neutral,Negative,,,
,,,,,,
Cerita Menteri Keuangan RI Dicegat Masuk Istana Gara-Gara Kijang Tua,Neutral,Neutral,Neutral,,,
,,,,,,
IHSG Bisa Tergelincir di November! Polanya Mirip 2017 & 2021,Negative,Neutral,Neutral,,,
,,,,,,
Morgan Stanley Prediksi Harga Emas Bakal Tembus Segini,Neutral,Neutral,Neutral,,,
,,,,,,
"Pesawat Airbus Mendarat Darurat, 15 Penumpang Dilarikan ke RS",Negative,Negative,Neutral,,,
,,,,,,
Obama Kritik Tajam Trump: Negara Kita Sedang di Masa yang Cukup Gelap,Negative,Neutral,Negative,,,
,,,,,,
Permasalahan TKA dan Jalan Tengahnya,Neutral,Neutral,Negative,,,
,,,,,,
Video: Prabowo dan Presiden Korsel Lee Jae Sepakat Perkuat Kerjasama Militer,Positive,Neutral,Neutral,,,
,,,,,,
"Operasi Atasi Balap Liar, Kakorlantas: Penyitaan Kendaraan Langkah Terakhir",Neutral,Neutral,Neutral,,,
,,,,,,
Arahan Kakorlantas Cegah Balap Liar: Polantas Patroli di Malam-Dini Hari,Positive,Neutral,Neutral,,,
,,,,,,
Partai PRIMA Dukung 'Anti-Serakahnomics' Prabowo ke Pemimpin Dunia,Neutral,Neutral,Neutral,,,
,,,,,,
Video: Warga Tak Masalah Nama Tanggul Baswedan Diganti Jadi Pramono,Neutral,Neutral,Neutral,,,
,,,,,,
"Israel Serang Lebanon, 4 Orang Tewas",Negative,Negative,Neutral,,,
,,,,,,
Raja Keraton Solo Pakubuwono XIII Tutup Usia,Neutral,Negative,Neutral,,,
,,,,,,
"Orkes Dangdut Meriahkan CFD Bundaran HI, Warga Olahraga Sambil Joget Bareng",Positive,Neutral,Neutral,,,
,,,,,,
Video Saat Megawati Bilang Akrab dengan Prabowo: Jangan Anda Coba-coba!,Neutral,Neutral,Negative,,,
,,,,,,
Papan Nama Miring Pasar Barito,Neutral,Neutral,Neutral,,,
,,,,,,
"Kemensos Gelar November Run, Ribuan Peserta Lari Bareng Mensos-Seskab Teddy",Positive,Positive,Neutral,,,
,,,,,,
"Dekatkan Golkar dan Rakyat, SOKSI Bagikan Sembako ke Sopir Ojek di Jakarta",Positive,Positive,Neutral,,,
,,,,,,
"Cerita Warga Ajak Keluarga ke CFD Depok: Jujur, Tujuan Utamanya Jajan",Neutral,Positive,Neutral,,,
,,,,,,
"Video Terpopuler Sepekan: Whoosh Masuk Radar KPK, Biaya Haji Turun Rp 2 Juta",Neutral,Positive,Neutral,,,
,,,,,,
Pupuk Kaltim Raih Predikat Tertinggi Indonesia Responsible Care Award,Positive,Positive,Positive,,,
,,,,,,
Segudang Strategi Pemprov Antisipasi Banjir yang Ancam Jakarta,Positive,Positive,Negative,,,
,,,,,,
Serakahnomics Dibawa Prabowo ke Level Asia Pasifik,Neutral,Positive,Neutral,,,
,,,,,,
Lestari Moerdijat Dorong Perempuan Kuasai Pertanian Ramah Lingkungan,Positive,Positive,Neutral,,,
,,,,,,
Fraksi Gerindra Segera Aktifkan Sara di DPR Lagi: Biar Tak Ada Kekosongan,Neutral,Neutral,Neutral,,,
,,,,,,
Merawat Budaya Depok Lewat Goresan Batik,Positive,Positive,Neutral,,,
,,,,,,
"7 Ha Lahan di Rohil Terbakar gara-gara Puntung Rokok, Pelaku Ditangkap",Negative,Negative,Neutral,,,
,,,,,,
Nasib Berbeda Onad dan Istri Usai Diamankan Terkait Narkoba,Neutral,Negative,Neutral,,,
,,,,,,
"Dekontaminasi Radiasi di Cikande Ditarget Beres Pekan Depan, Warga Bisa Pulang",Positive,Negative,Neutral,,,
,,,,,,
"Video: Kecelakaan di Tanjakan Cae Sumedang, 3 Orang Tewas",Negative,Negative,Neutral,,,
,,,,,,
Karung Pasir Tak Kuasa Tahan Luapan Jebolnya Tanggul Baswedan,Negative,Negative,Neutral,,,
,,,,,,
"Onad Menunduk Saat Diperiksa, Mengaku Menyesal Pakai Narkoba",Neutral,Positive,Neutral,,,
,,,,,,
Pesan Jokowi Lewat Video Usai Batal ke Kongres Projo,Neutral,Neutral,Neutral,,,
,,,,,,
Video Umrah Mandiri Vs Travel: Mau Praktis atau Taktis?,Neutral,Neutral,Neutral,,,
,,,,,,
"Bupati Sudewo Lolos Pemakzulan, Kemendagri Wanti-wanti Hal Ini",Neutral,Neutral,Neutral,,,
,,,,,,
Tersisa Cerita Perjuangan Tembus Macet Panjang Gara-gara Banjir Kemang,Negative,Negative,Neutral,,,
,,,,,,
Awal Mula Polisi Bongkar Kasus Narkoba yang Jerat Onad,Neutral,Negative,Neutral,,,
,,,,,,
Trump Ancam Aksi Militer di Nigeria Terkait Pembunuhan Umat Kristen,Negative,Neutral,Neutral,,,
,,,,,,
Terbuka Sudah Harta Karun Firaun Muda,Neutral,Positive,Neutral,,,
,,,,,,
"Gempa M 4,9 Guncang Meulaboh Aceh Barat",Negative,Negative,Neutral,,,
,,,,,,
"Prakiraan Cuaca Jakarta: Jakpus, Jakbar dan Jaksel Hujan Riang Siang Ini",Neutral,Neutral,Neutral,,,
,,,,,,
"Hendak Usir Tentara Rusia, Ukraina Kirim Pasukan Khusus ke Pokrovsk",Neutral,Neutral,Neutral,,,
,,,,,,
"Truk Tangki BBM Terbakar Usai Terguling di Cianjur, Pos Polisi-Ruko Hangus",Negative,Negative,Neutral,,,
,,,,,,
"Tanah Longsor Terjang Kenya, 21 Orang Tewas- 30 Lainnya Masih Hilang",Negative,Negative,Neutral,,,
,,,,,,
Dirjen Hubdat Cek Terminal hingga Jalan Rawan Laka Serentak 7 November,Positive,Neutral,Neutral,,,
,,,,,,
"Tambang Emas Ilegal di Kampar Ditindak Tegas, 7 Rakit PETI Disita Polisi",Positive,Neutral,Neutral,,,
,,,,,,
"Bareskrim Gerebek Tambang Ilegal di Lereng Merapi, Omzet Capai Rp 3 T",Positive,Positive,Neutral,,,
,,,,,,
Sejarawan soal Usul Soeharto Pahlawan: Seperti Beri Nobel Perdamaian ke Trump,Neutral,Neutral,Neutral,,,
,,,,,,
"Wujudkan Green Policing, Polres Rohul Tanam Pohon Serentak di 22 Lokasi",Positive,Neutral,Neutral,,,
,,,,,,
"Tanam Peduli Lingkungan Sejak Dini, Polisi Edukasi Green Policing di TK Dumai",Positive,Positive,Neutral,,,
,,,,,,
Ketua Komisi XI DPR Dorong Masyarakat Bantu Pembangunan Nasional,Positive,Positive,Neutral,,,
,,,,,,
"Polisi di Kota Tangerang Berbagi Sembako, Ajak Warga Jaga Kamtibmas",Positive,Positive,Neutral,,,
,,,,,,
Video Kapan Puncak Musim Hujan di Indonesia? Ini Kata BMKG,Neutral,Positive,Neutral,,,
,,,,,,
Ketua KNPI Apresiasi Presiden Korsel Bahas Konferensi Asia-Afrika di KTT APEC,Positive,Neutral,Neutral,,,
,,,,,,
Jawaban Singkat Trump soal Desas-desus AS Serang Venezuela,Neutral,Neutral,Neutral,,,
,,,,,,
"Video Polisi Gerebek Tambang Ilegal di Lereng Merapi, Rugikan Negara Rp 3 T",Positive,Negative,Neutral,,,
,,,,,,
"Kelompok Bersenjata Tembaki Rumah-rumah di Yunani, 2 Orang Tewas",Negative,Negative,Neutral,,,
,,,,,,
"Video: Pemasok Narkoba ke Onad Ditangkap, Ini Barbuk yang Disita Polisi",Neutral,Negative,Neutral,,,
,,,,,,
"Danrem Wira Bima Tanam Pohon di Polres Siak, Dukung Green Policing",Positive,Positive,Neutral,,,
,,,,,,
"Megawati: Saya sama Mas Bowo Akrab, Jangan Anda Coba-coba!",Neutral,Neutral,Neutral,,,
,,,,,,
Video: Heboh Wanita Naik Motor Tanpa Helm Masuk Tol Cikampek,Neutral,Negative,Neutral,,,
,,,,,,
"Video Budi Arie: Projo Tak Akan Jadi Partai, Bakal Ganti Logo Jokowi",Neutral,Neutral,Neutral,,,
,,,,,,
Video: Respons Dasco Setelah Budi Arie Beri Sinyal Gabung Gerindra,Neutral,Neutral,Neutral,,,
,,,,,,
"Wamentrans Sebut Transmigran Dapat HPL 1-2 Hektare, Ini Tujuannya",Neutral,Positive,Neutral,,,
,,,,,,
"Video Ada Konser BLACKPINK-HYDE, Ini Pantauan Lalin Jalan Asia Afrika",Neutral,Neutral,Neutral,,,
,,,,,,
Alasan di Balik Tak Ada Ponsel di Genggaman Megawati,Neutral,Neutral,Neutral,,,
,,,,,,
"Hampir Ditabrak Mobil, 2 Orang di Jakut Malah Dikeroyok Sopir dan Penumpang",Negative,Negative,Neutral,,,
,,,,,,
Petaka bagi Onad yang Positif Narkoba,Neutral,Negative,Neutral,,,
,,,,,,
"Ngerinya Tabrakan di Bekasi, Kepala Truk Sampai Gepeng Usai Kecelakaan",Negative,Negative,Neutral,,,
,,,,,,
"Banjir Rendam 895 Rumah di Rowokangkung, Lumajang, Pemkab Salurkan Bantuan",Negative,Negative,Neutral,,,
,,,,,,
"Dinilai Sukses Sinergikan Pusat-Daerah, Tito Raih CNN Indonesia Awards 2025",Positive,Positive,Neutral,,,
,,,,,,
"Polemik Utang Whoosh, Hasto Sebut PDIP Sudah 3 Kali Ingatkan Jokowi",Neutral,Negative,Negative,,,
,,,,,,
"Resmikan Gedung SPPG di Baubau, Bima Arya Tegaskan Dua Target Utama MBG",Positive,Neutral,Neutral,,,
,,,,,,
Program KAS PAM Jaya untuk Biaya Flat Murah Air bagi RTSS : Hemat & Efisien,Positive,Positive,Neutral,,,
,,,,,,
Video Prabowo Tiba di RI Setelah Selesai Menghadiri KTT APEC di Korsel,Neutral,Neutral,Neutral,,,
,,,,,,
HNW Kecam Keras Anggota Kongres AS soal Pencaplokan Kompleks Al-Aqsa,Neutral,Negative,Neutral,,,
,,,,,,
Video Budi Arie Persilakan Penegak Hukum Periksa Whoosh,Neutral,Neutral,Neutral,,,
,,,,,,
Anak 6 Tahun di Bekasi Tewas Disengat Tawon,Negative,Negative,Neutral,,,
,,,,,,
Penjual Jas Hujan 'Banjir' Rezeki di Konser BLACKPINK,Positive,Positive,Neutral,,,
,,,,,,
"Jelang Hari Pahlawan, Mensos Doa Bersama Komunitas Pemulung Bantargebang",Positive,Neutral,Neutral,,,
,,,,,,
Pemasok Narkoba ke Onad Ditangkap!,Positive,Negative,Neutral,,,
,,,,,,
"Iseng Berujung Cuan, Mina-Sinci Buka Jasa Kepang Rambut di Konser BLACKPINK",Neutral,Positive,Neutral,,,
,,,,,,
"Jalani Tes Urine, Teman Onadio Leonardo yang Ditangkap Juga Positif Narkoba",Negative,Negative,Neutral,,,
,,,,,,
Megawati Minta Hati-hati Beri Gelar Pahlawan: Jangan Gampang Dong!,Neutral,Neutral,Negative,,,
,,,,,,
Israel Bilang 3 Jasad yang Diserahkan Hamas Bukan Sandera,Neutral,Neutral,Neutral,,,
,,,,,,
Video Budi Arie Arahkan Kader Projo Dukung MBG-Sekolah Rakyat,Neutral,Neutral,Neutral,,,
,,,,,,
"Sempat Hilang, ABK di Jakut Ditemukan Tewas Tenggelam",Negative,Negative,Neutral,,,
,,,,,,
Prabowo Tiba di Halim Usai Hadiri KTT APEC di Korsel,Neutral,Neutral,Neutral,,,
,,,,,,
Yordania-Jerman Tegaskan Pasukan Internasional di Gaza Perlu Mandat PBB,Positive,Neutral,Neutral,,,
,,,,,,
"Tindak Tegas Online Scam, Satgas Siber PMJ Blokir Ribuan Situs-Rekening Ilegal",Positive,Negative,Neutral,,,
,,,,,,
"3 Hari Kebanjiran, Warga Jati Padang Mulai Alami Gatal hingga Diare",Negative,Negative,Neutral,,,
,,,,,,
Anti Scam Center Polda Metro Bisa Blokir Rekening Penipu Cuma 15 Menit!,Positive,Positive,Neutral,,,
,,,,,,
5 Berita Terpopuler Internasional Hari Ini,Neutral,Positive,Neutral,,,
,,,,,,
"Tangani Masalah Lansia, Kemensos Gelar Pelatihan Care Economy di Sulsel",Positive,Positive,Neutral,,,
,,,,,,
Video: Pria di Riau Dibunuh Teman-Dikubur Pakai Terpal gegara Masalah WiFi,Negative,Negative,Neutral,,,
,,,,,,
Kemensos Salurkan Santunan Korban Robohnya Atap Ponpes di Situbondo,Positive,Positive,Neutral,,,
,,,,,,
"Rumah Jebol Diterjang Banjir, Warga di Jati Padang Tak Berani Tidur di Rumah",Negative,Negative,Neutral,,,
,,,,,,
Wamentrans Viva Sampaikan 4 Amanat Prabowo untuk Transmigran,Neutral,Neutral,Neutral,,,
,,,,,,
"Hendak Antar Anak Sekolah, Warga Temukan Mayat Pria di Pinggir Kali Jakbar",Negative,Negative,Neutral,,,
,,,,,,
Video: Ketua RW Jelaskan Asal Mula Nama Tanggul Baswedan di Jati Padang,Neutral,Neutral,Neutral,,,
,,,,,,
